"part_id","hh_id","part_age","part_gender"
"at_A1_103429","HHat_A1_103429","50-59","M"
"at_A1_103430","HHat_A1_103430","40-49","M"
"at_A1_103431","HHat_A1_103431","18-29","F"
"at_A1_103432","HHat_A1_103432","60-69","F"
"at_A1_103433","HHat_A1_103433","60-69","F"
"at_A1_103434","HHat_A1_103434","40-49","F"
"at_A1_103435","HHat_A1_103435","50-59","M"
"at_A1_103436","HHat_A1_103436","40-49","M"
"at_A1_103437","HHat_A1_103437","50-59","M"
"at_A1_103438","HHat_A1_103438","1-4","M"
"at_A1_103439","HHat_A1_103439","18-29","F"
"at_A1_103440","HHat_A1_103440","40-49","M"
"at_A1_103441","HHat_A1_103441","12-15","F"
"at_A1_103442","HHat_A1_103442","60-69","F"
"at_A1_103443","HHat_A1_103443","40-49","M"
"at_A1_103444","HHat_A1_103444","50-59","M"
"at_A1_103445","HHat_A1_103445","50-59","M"
"at_A1_103446","HHat_A1_103446","70-120","M"
"at_A1_103447","HHat_A1_103447","16-17","F"
"at_A1_103448","HHat_A1_103448","50-59","F"
"at_A1_103449","HHat_A1_103449","40-49","M"
"at_A1_103450","HHat_A1_103450","70-120","M"
"at_A1_103451","HHat_A1_103451","40-49","M"
"at_A1_103452","HHat_A1_103452","40-49","M"
"at_A1_103453","HHat_A1_103453","40-49","F"
"at_A1_103454","HHat_A1_103454","70-120","M"
"at_A1_103455","HHat_A1_103455","12-15","F"
"at_A1_103456","HHat_A1_103456","60-69","F"
"at_A1_103457","HHat_A1_103457","40-49","M"
"at_A1_103458","HHat_A1_103458","50-59","M"
"at_A1_103459","HHat_A1_103459","70-120","F"
"at_A1_103460","HHat_A1_103460","60-69","M"
"at_A1_103461","HHat_A1_103461","60-69","M"
"at_A1_103462","HHat_A1_103462","70-120","M"
"at_A1_103463","HHat_A1_103463","1-4","M"
"at_A1_103464","HHat_A1_103464","50-59","M"
"at_A1_103465","HHat_A1_103465","50-59","M"
"at_A1_103466","HHat_A1_103466","50-59","F"
"at_A1_103467","HHat_A1_103467","60-69","M"
"at_A1_103468","HHat_A1_103468","18-29","M"
"at_A1_103469","HHat_A1_103469","18-29","M"
"at_A1_103470","HHat_A1_103470","60-69","M"
"at_A1_103471","HHat_A1_103471","60-69","M"
"at_A1_103472","HHat_A1_103472","60-69","M"
"at_A1_103473","HHat_A1_103473","60-69","F"
"at_A1_103474","HHat_A1_103474","50-59","M"
"at_A1_103475","HHat_A1_103475","50-59","F"
"at_A1_103476","HHat_A1_103476","60-69","M"
"at_A1_103477","HHat_A1_103477","18-29","M"
"at_A1_103478","HHat_A1_103478","60-69","M"
"at_A1_103479","HHat_A1_103479","1-4","F"
"at_A1_103480","HHat_A1_103480","12-15","F"
"at_A1_103481","HHat_A1_103481","60-69","F"
"at_A1_103482","HHat_A1_103482","40-49","F"
"at_A1_103483","HHat_A1_103483","40-49","M"
"at_A1_103484","HHat_A1_103484","50-59","F"
"at_A1_103485","HHat_A1_103485","50-59","F"
"at_A1_103486","HHat_A1_103486","5-11","F"
"at_A1_103487","HHat_A1_103487","12-15","M"
"at_A1_103488","HHat_A1_103488","12-15","F"
"at_A1_103489","HHat_A1_103489","40-49","F"
"at_A1_103490","HHat_A1_103490","40-49","M"
"at_A1_103491","HHat_A1_103491","50-59","M"
"at_A1_103492","HHat_A1_103492","5-11","F"
"at_A1_103493","HHat_A1_103493","50-59","F"
"at_A1_103494","HHat_A1_103494","50-59","M"
"at_A1_103495","HHat_A1_103495","40-49","F"
"at_A1_103496","HHat_A1_103496","50-59","F"
"at_A1_103497","HHat_A1_103497","50-59","F"
"at_A1_103498","HHat_A1_103498","70-120","M"
"at_A1_103499","HHat_A1_103499","30-39","F"
"at_A1_103500","HHat_A1_103500","30-39","F"
"at_A1_103501","HHat_A1_103501","70-120","M"
"at_A1_103502","HHat_A1_103502","70-120","M"
"at_A1_103503","HHat_A1_103503","50-59","F"
"at_A1_103504","HHat_A1_103504","40-49","F"
"at_A1_103505","HHat_A1_103505","60-69","M"
"at_A1_103506","HHat_A1_103506","50-59","F"
"at_A1_103507","HHat_A1_103507","40-49","F"
"at_A1_103508","HHat_A1_103508","60-69","F"
"at_A1_103509","HHat_A1_103509","70-120","M"
"at_A1_103510","HHat_A1_103510","50-59","F"
"at_A1_103511","HHat_A1_103511","40-49","M"
"at_A1_103512","HHat_A1_103512","60-69","M"
"at_A1_103513","HHat_A1_103513","70-120","M"
"at_A1_103514","HHat_A1_103514","50-59","M"
"at_A1_103515","HHat_A1_103515","60-69","M"
"at_A1_103516","HHat_A1_103516","12-15","F"
"at_A1_103517","HHat_A1_103517","1-4","M"
"at_A1_103518","HHat_A1_103518","70-120","M"
"at_A1_103519","HHat_A1_103519","30-39","M"
"at_A1_103520","HHat_A1_103520","18-29","M"
"at_A1_103521","HHat_A1_103521","60-69","M"
"at_A1_103522","HHat_A1_103522","30-39","F"
"at_A1_103523","HHat_A1_103523","18-29","F"
"at_A1_103524","HHat_A1_103524","30-39","F"
"at_A1_103525","HHat_A1_103525","70-120","F"
"at_A1_103526","HHat_A1_103526","18-29","F"
"at_A1_103527","HHat_A1_103527","18-29","M"
"at_A1_103528","HHat_A1_103528","60-69","M"
"at_A1_103529","HHat_A1_103529","60-69","M"
"at_A1_103530","HHat_A1_103530","30-39","F"
"at_A1_103531","HHat_A1_103531","30-39","M"
"at_A1_103532","HHat_A1_103532","50-59","F"
"at_A1_103533","HHat_A1_103533","50-59","M"
"at_A1_103534","HHat_A1_103534","18-29","F"
"at_A1_103535","HHat_A1_103535","60-69","M"
"at_A1_103536","HHat_A1_103536","50-59","F"
"at_A1_103537","HHat_A1_103537","18-29","F"
"at_A1_103538","HHat_A1_103538","40-49","M"
"at_A1_103539","HHat_A1_103539","60-69","M"
"at_A1_103540","HHat_A1_103540","30-39","F"
"at_A1_103541","HHat_A1_103541","60-69","F"
"at_A1_103542","HHat_A1_103542","40-49","M"
"at_A1_103543","HHat_A1_103543","50-59","M"
"at_A1_103544","HHat_A1_103544","40-49","F"
"at_A1_103545","HHat_A1_103545","30-39","F"
"at_A1_103546","HHat_A1_103546","60-69","M"
"at_A1_103547","HHat_A1_103547","18-29","F"
"at_A1_103548","HHat_A1_103548","18-29","F"
"at_A1_103549","HHat_A1_103549","30-39","M"
"at_A1_103550","HHat_A1_103550","70-120","M"
"at_A1_103551","HHat_A1_103551","50-59","M"
"at_A1_103552","HHat_A1_103552","40-49","M"
"at_A1_103553","HHat_A1_103553","18-29","F"
"at_A1_103554","HHat_A1_103554","40-49","M"
"at_A1_103555","HHat_A1_103555","70-120","F"
"at_A1_103556","HHat_A1_103556","50-59","F"
"at_A1_103557","HHat_A1_103557","60-69","F"
"at_A1_103558","HHat_A1_103558","60-69","F"
"at_A1_103559","HHat_A1_103559","18-29","F"
"at_A1_103560","HHat_A1_103560","40-49","M"
"at_A1_103561","HHat_A1_103561","18-29","F"
"at_A1_103562","HHat_A1_103562","40-49","M"
"at_A1_103563","HHat_A1_103563","30-39","F"
"at_A1_103564","HHat_A1_103564","40-49","F"
"at_A1_103565","HHat_A1_103565","50-59","M"
"at_A1_103566","HHat_A1_103566","50-59","F"
"at_A1_103567","HHat_A1_103567","30-39","F"
"at_A1_103568","HHat_A1_103568","30-39","F"
"at_A1_103569","HHat_A1_103569","40-49","M"
"at_A1_103570","HHat_A1_103570","60-69","M"
"at_A1_103571","HHat_A1_103571","60-69","M"
"at_A1_103572","HHat_A1_103572","50-59","F"
"at_A1_103573","HHat_A1_103573","60-69","F"
"at_A1_103574","HHat_A1_103574","30-39","F"
"at_A1_103575","HHat_A1_103575","18-29","F"
"at_A1_103576","HHat_A1_103576","70-120","F"
"at_A1_103577","HHat_A1_103577","60-69","M"
"at_A1_103578","HHat_A1_103578","40-49","M"
"at_A1_103579","HHat_A1_103579","50-59","M"
"at_A1_103580","HHat_A1_103580","70-120","F"
"at_A1_103581","HHat_A1_103581","18-29","M"
"at_A1_103582","HHat_A1_103582","40-49","F"
"at_A1_103583","HHat_A1_103583","60-69","M"
"at_A1_103584","HHat_A1_103584","30-39","M"
"at_A1_103585","HHat_A1_103585","18-29","M"
"at_A1_103586","HHat_A1_103586","18-29","F"
"at_A1_103587","HHat_A1_103587","60-69","F"
"at_A1_103588","HHat_A1_103588","18-29","M"
"at_A1_103589","HHat_A1_103589","60-69","F"
"at_A1_103590","HHat_A1_103590","40-49","M"
"at_A1_103591","HHat_A1_103591","60-69","M"
"at_A1_103592","HHat_A1_103592","18-29","F"
"at_A1_103593","HHat_A1_103593","18-29","F"
"at_A1_103594","HHat_A1_103594","60-69","M"
"at_A1_103595","HHat_A1_103595","60-69","M"
"at_A1_103596","HHat_A1_103596","50-59","M"
"at_A1_103597","HHat_A1_103597","18-29","M"
"at_A1_103598","HHat_A1_103598","60-69","M"
"at_A1_103599","HHat_A1_103599","60-69","F"
