"part_id","hh_id","part_age","part_gender"
10161503,"HH10161503","60-69","M"
10161504,"HH10161504","60-69","M"
10161505,"HH10161505","60-69","M"
10161507,"HH10161507","60-69","M"
10161508,"HH10161508","60-69","M"
10161509,"HH10161509","60-69","M"
10161601,"HH10161601","50-59","F"
10161603,"HH10161603","50-59","F"
10161604,"HH10161604","50-59","F"
10161605,"HH10161605","50-59","M"
10161607,"HH10161607","50-59","F"
10161608,"HH10161608","50-59","F"
10161701,"HH10161701","18-29","M"
10161703,"HH10161703","18-29","M"
10161704,"HH10161704","18-29","M"
10161705,"HH10161705","18-29","M"
10161707,"HH10161707","18-29","M"
10161708,"HH10161708","18-29","M"
10161801,"HH10161801","60-69","M"
10161803,"HH10161803","60-69","M"
10161804,"HH10161804","60-69","M"
10161901,"HH10161901","18-29","F"
10161903,"HH10161903","18-29","F"
10161907,"HH10161907","18-29","F"
10161908,"HH10161908","18-29","F"
10161909,"HH10161909","18-29","F"
10162001,"HH10162001","40-49","F"
10162003,"HH10162003","40-49","F"
10162004,"HH10162004","40-49","F"
10162005,"HH10162005","40-49","F"
10162007,"HH10162007","40-49","F"
10162008,"HH10162008","40-49","F"
10162009,"HH10162009","40-49","F"
10162101,"HH10162101","30-39","M"
10162104,"HH10162104","30-39","M"
10162105,"HH10162105","30-39","M"
10162107,"HH10162107","30-39","M"
10162108,"HH10162108","30-39","M"
10162201,"HH10162201","50-59","M"
10162203,"HH10162203","50-59","M"
10162205,"HH10162205","50-59","M"
10162301,"HH10162301","60-69","M"
10162303,"HH10162303","60-69","M"
10162304,"HH10162304","60-69","M"
10162305,"HH10162305","60-69","M"
10162307,"HH10162307","60-69","M"
10162308,"HH10162308","60-69","M"
10162309,"HH10162309","60-69","M"
10162401,"HH10162401","60-69","F"
10162403,"HH10162403","60-69","F"
10162404,"HH10162404","60-69","F"
10162405,"HH10162405","60-69","F"
10162407,"HH10162407","60-69","F"
10162408,"HH10162408","60-69","F"
10162409,"HH10162409","60-69","F"
10162501,"HH10162501","50-59","F"
10162503,"HH10162503","50-59","F"
10162504,"HH10162504","50-59","F"
10162505,"HH10162505","50-59","F"
10162507,"HH10162507","50-59","F"
10162508,"HH10162508","50-59","F"
10162509,"HH10162509","50-59","F"
10162601,"HH10162601","50-59","M"
10162605,"HH10162605","50-59","M"
10162607,"HH10162607","50-59","M"
10162701,"HH10162701","60-69","F"
10162703,"HH10162703","60-69","F"
10162704,"HH10162704","60-69","F"
10162705,"HH10162705","60-69","F"
10162801,"HH10162801","18-29","M"
10162901,"HH10162901","30-39","F"
10162904,"HH10162904","30-39","F"
10163001,"HH10163001","18-29","F"
10163003,"HH10163003","18-29","F"
10163101,"HH10163101","50-59","F"
10163103,"HH10163103","50-59","F"
10163104,"HH10163104","50-59","F"
10163105,"HH10163105","50-59","F"
10163107,"HH10163107","50-59","F"
10163108,"HH10163108","50-59","F"
10163109,"HH10163109","50-59","F"
10163201,"HH10163201","30-39","F"
10163205,"HH10163205","30-39","F"
10163208,"HH10163208","30-39","F"
10163301,"HH10163301","30-39","M"
10163303,"HH10163303","30-39","M"
10163304,"HH10163304","30-39","M"
10163305,"HH10163305","30-39","M"
10163307,"HH10163307","30-39","M"
10163308,"HH10163308","30-39","M"
10163401,"HH10163401","18-29","M"
10163501,"HH10163501","30-39","F"
10163505,"HH10163505","30-39","F"
10163601,"HH10163601","40-49","M"
10163605,"HH10163605","40-49","M"
10163607,"HH10163607","40-49","M"
10163608,"HH10163608","40-49","M"
10163701,"HH10163701","30-39","M"
10163704,"HH10163704","30-39","M"
10163705,"HH10163705","30-39","M"
10163707,"HH10163707","30-39","M"
10163708,"HH10163708","30-39","M"
10163709,"HH10163709","30-39","M"
10163801,"HH10163801","30-39","M"
10163804,"HH10163804","30-39","M"
10163805,"HH10163805","30-39","M"
10163901,"HH10163901","70-120","F"
10163904,"HH10163904","70-120","F"
10163907,"HH10163907","70-120","F"
10163908,"HH10163908","70-120","F"
10164001,"HH10164001","30-39","F"
10164003,"HH10164003","30-39","F"
10164004,"HH10164004","30-39","F"
10164005,"HH10164005","30-39","F"
10164007,"HH10164007","30-39","F"
10164008,"HH10164008","30-39","F"
10164009,"HH10164009","30-39","F"
10164101,"HH10164101","50-59","F"
10164103,"HH10164103","50-59","F"
10164201,"HH10164201","60-69","F"
10164203,"HH10164203","60-69","F"
10164208,"HH10164208","60-69","F"
10164301,"HH10164301","18-29","M"
10164303,"HH10164303","18-29","M"
10164401,"HH10164401","18-29","M"
10164403,"HH10164403","18-29","M"
