part_id,month,year,sday_id,dayofweek,day,wave
1420701,4,2020,2020.04.20,1,20,1
1420801,4,2020,2020.04.19,0,19,1
1420901,4,2020,2020.04.17,5,17,1
1421001,4,2020,2020.04.16,4,16,1
1421101,4,2020,2020.04.18,6,18,1
1421201,4,2020,2020.04.17,5,17,1
1421301,4,2020,2020.04.19,0,19,1
1421401,4,2020,2020.04.16,4,16,1
1421501,4,2020,2020.04.19,0,19,1
1421601,4,2020,2020.04.19,0,19,1
1421701,4,2020,2020.04.17,5,17,1
1421801,4,2020,2020.04.19,0,19,1
1421901,4,2020,2020.04.17,5,17,1
1422001,4,2020,2020.04.19,0,19,1
1422101,4,2020,2020.04.19,0,19,1
1422201,4,2020,2020.04.19,0,19,1
1422301,4,2020,2020.04.19,0,19,1
1422401,4,2020,2020.04.19,0,19,1
1422501,4,2020,2020.04.17,5,17,1
1422601,4,2020,2020.04.16,4,16,1
1422701,4,2020,2020.04.17,5,17,1
1422801,4,2020,2020.04.19,0,19,1
1422901,4,2020,2020.04.19,0,19,1
1423001,4,2020,2020.04.17,5,17,1
1423101,4,2020,2020.04.17,5,17,1
1423201,4,2020,2020.04.16,4,16,1
1423301,4,2020,2020.04.19,0,19,1
1423401,4,2020,2020.04.16,4,16,1
1423501,4,2020,2020.04.19,0,19,1
1423601,4,2020,2020.04.19,0,19,1
1423701,4,2020,2020.04.19,0,19,1
1423801,4,2020,2020.04.19,0,19,1
1423901,4,2020,2020.04.17,5,17,1
1424001,4,2020,2020.04.19,0,19,1
1424101,4,2020,2020.04.19,0,19,1
1424201,4,2020,2020.04.16,4,16,1
1424301,4,2020,2020.04.19,0,19,1
1424401,4,2020,2020.04.19,0,19,1
1424501,4,2020,2020.04.19,0,19,1
1424601,4,2020,2020.04.19,0,19,1
1424701,4,2020,2020.04.19,0,19,1
1424801,4,2020,2020.04.19,0,19,1
1424901,4,2020,2020.04.19,0,19,1
1425001,4,2020,2020.04.19,0,19,1
1425101,4,2020,2020.04.19,0,19,1
1425201,4,2020,2020.04.16,4,16,1
1425301,4,2020,2020.04.19,0,19,1
1425401,4,2020,2020.04.19,0,19,1
1425501,4,2020,2020.04.16,4,16,1
