"cont_id","cnt_relation","cnt_hospital","collection_period"
"1026_baseline_3",NA,NA,"baseline"
"1026_baseline_4",NA,NA,"baseline"
"1026_baseline_5",NA,NA,"baseline"
"1026_baseline_6",NA,NA,"baseline"
"1026_baseline_7",NA,NA,"baseline"
"1027_baseline_1",NA,NA,"baseline"
"1027_baseline_2",NA,NA,"baseline"
"1027_outbreak_1",1,FALSE,"outbreak"
"1027_outbreak_2",1,FALSE,"outbreak"
"1028_baseline_1",NA,NA,"baseline"
"1028_baseline_2",NA,NA,"baseline"
"1028_baseline_3",NA,NA,"baseline"
"1028_baseline_4",NA,NA,"baseline"
"1028_baseline_5",NA,NA,"baseline"
"1028_outbreak_1",1,FALSE,"outbreak"
"1029_baseline_1",NA,NA,"baseline"
"1029_baseline_2",NA,NA,"baseline"
"1029_baseline_3",NA,NA,"baseline"
"1029_outbreak_1",1,FALSE,"outbreak"
"1029_outbreak_2",1,FALSE,"outbreak"
"1029_outbreak_3",1,FALSE,"outbreak"
"1030_baseline_1",NA,NA,"baseline"
"1030_baseline_10",NA,NA,"baseline"
"1030_baseline_11",NA,NA,"baseline"
"1030_baseline_12",NA,NA,"baseline"
"1030_baseline_13",NA,NA,"baseline"
"1030_baseline_14",NA,NA,"baseline"
"1030_baseline_15",NA,NA,"baseline"
"1030_baseline_16",NA,NA,"baseline"
"1030_baseline_17",NA,NA,"baseline"
"1030_baseline_18",NA,NA,"baseline"
"1030_baseline_19",NA,NA,"baseline"
"1030_baseline_2",NA,NA,"baseline"
"1030_baseline_20",NA,NA,"baseline"
"1030_baseline_21",NA,NA,"baseline"
"1030_baseline_22",NA,NA,"baseline"
"1030_baseline_23",NA,NA,"baseline"
"1030_baseline_24",NA,NA,"baseline"
"1030_baseline_25",NA,NA,"baseline"
"1030_baseline_26",NA,NA,"baseline"
"1030_baseline_27",NA,NA,"baseline"
"1030_baseline_28",NA,NA,"baseline"
"1030_baseline_29",NA,NA,"baseline"
"1030_baseline_3",NA,NA,"baseline"
"1030_baseline_30",NA,NA,"baseline"
"1030_baseline_31",NA,NA,"baseline"
"1030_baseline_32",NA,NA,"baseline"
"1030_baseline_33",NA,NA,"baseline"
"1030_baseline_34",NA,NA,"baseline"
"1030_baseline_35",NA,NA,"baseline"
"1030_baseline_36",NA,NA,"baseline"
"1030_baseline_37",NA,NA,"baseline"
"1030_baseline_38",NA,NA,"baseline"
"1030_baseline_39",NA,NA,"baseline"
"1030_baseline_4",NA,NA,"baseline"
"1030_baseline_40",NA,NA,"baseline"
"1030_baseline_5",NA,NA,"baseline"
"1030_baseline_6",NA,NA,"baseline"
"1030_baseline_7",NA,NA,"baseline"
"1030_baseline_8",NA,NA,"baseline"
"1030_baseline_9",NA,NA,"baseline"
"1030_outbreak_1",1,FALSE,"outbreak"
"1031_baseline_1",NA,NA,"baseline"
"1031_baseline_10",NA,NA,"baseline"
"1031_baseline_11",NA,NA,"baseline"
"1031_baseline_12",NA,NA,"baseline"
"1031_baseline_2",NA,NA,"baseline"
"1031_baseline_3",NA,NA,"baseline"
"1031_baseline_4",NA,NA,"baseline"
"1031_baseline_5",NA,NA,"baseline"
"1031_baseline_6",NA,NA,"baseline"
"1031_baseline_7",NA,NA,"baseline"
"1031_baseline_8",NA,NA,"baseline"
"1031_baseline_9",NA,NA,"baseline"
"1031_outbreak_1",1,FALSE,"outbreak"
"1032_baseline_1",NA,NA,"baseline"
"1032_baseline_2",NA,NA,"baseline"
"1032_baseline_3",NA,NA,"baseline"
"1032_outbreak_1",1,FALSE,"outbreak"
"1032_outbreak_2",1,FALSE,"outbreak"
"1033_outbreak_1",1,NA,"outbreak"
"1033_outbreak_2",1,NA,"outbreak"
"1034_baseline_1",NA,NA,"baseline"
"1034_baseline_10",NA,NA,"baseline"
"1034_baseline_11",NA,NA,"baseline"
"1034_baseline_12",NA,NA,"baseline"
"1034_baseline_13",NA,NA,"baseline"
"1034_baseline_14",NA,NA,"baseline"
"1034_baseline_15",NA,NA,"baseline"
"1034_baseline_16",NA,NA,"baseline"
"1034_baseline_17",NA,NA,"baseline"
"1034_baseline_18",NA,NA,"baseline"
"1034_baseline_19",NA,NA,"baseline"
"1034_baseline_2",NA,NA,"baseline"
"1034_baseline_3",NA,NA,"baseline"
"1034_baseline_4",NA,NA,"baseline"
"1034_baseline_5",NA,NA,"baseline"
"1034_baseline_6",NA,NA,"baseline"
"1034_baseline_7",NA,NA,"baseline"
"1034_baseline_8",NA,NA,"baseline"
"1034_baseline_9",NA,NA,"baseline"
"1034_outbreak_1",1,FALSE,"outbreak"
"1034_outbreak_2",1,FALSE,"outbreak"
"1034_outbreak_3",1,FALSE,"outbreak"
"1035_baseline_1",NA,NA,"baseline"
"1035_baseline_10",NA,NA,"baseline"
"1035_baseline_11",NA,NA,"baseline"
"1035_baseline_12",NA,NA,"baseline"
"1035_baseline_13",NA,NA,"baseline"
"1035_baseline_14",NA,NA,"baseline"
"1035_baseline_15",NA,NA,"baseline"
"1035_baseline_16",NA,NA,"baseline"
"1035_baseline_17",NA,NA,"baseline"
"1035_baseline_18",NA,NA,"baseline"
"1035_baseline_19",NA,NA,"baseline"
"1035_baseline_2",NA,NA,"baseline"
"1035_baseline_20",NA,NA,"baseline"
"1035_baseline_21",NA,NA,"baseline"
"1035_baseline_22",NA,NA,"baseline"
"1035_baseline_23",NA,NA,"baseline"
"1035_baseline_24",NA,NA,"baseline"
"1035_baseline_25",NA,NA,"baseline"
"1035_baseline_26",NA,NA,"baseline"
"1035_baseline_27",NA,NA,"baseline"
"1035_baseline_28",NA,NA,"baseline"
"1035_baseline_29",NA,NA,"baseline"
"1035_baseline_3",NA,NA,"baseline"
"1035_baseline_30",NA,NA,"baseline"
"1035_baseline_31",NA,NA,"baseline"
"1035_baseline_32",NA,NA,"baseline"
"1035_baseline_33",NA,NA,"baseline"
"1035_baseline_34",NA,NA,"baseline"
"1035_baseline_35",NA,NA,"baseline"
"1035_baseline_36",NA,NA,"baseline"
"1035_baseline_37",NA,NA,"baseline"
"1035_baseline_4",NA,NA,"baseline"
"1035_baseline_5",NA,NA,"baseline"
"1035_baseline_6",NA,NA,"baseline"
"1035_baseline_7",NA,NA,"baseline"
"1035_baseline_8",NA,NA,"baseline"
"1035_baseline_9",NA,NA,"baseline"
"1035_outbreak_1",1,NA,"outbreak"
"1035_outbreak_2",1,NA,"outbreak"
"1035_outbreak_3",1,FALSE,"outbreak"
"1036_outbreak_1",1,FALSE,"outbreak"
