hh_id,country,hh_size,hh_size_reported
HH1202900,NL,2,2
HH1203000,NL,1,2
HH1203600,NL,1,2
HH1203700,NL,4,4
HH1203800,NL,4,4
HH1204200,NL,3,3
HH1204600,NL,2,6
HH1204700,NL,4,4
HH1204900,NL,2,2
HH1205100,NL,2,2
HH1205300,NL,3,3
HH1205500,NL,2,2
HH1205700,NL,2,2
HH1205800,NL,2,2
HH1205900,NL,6,6
HH1206000,NL,2,2
HH1206100,NL,1,3
HH1206200,NL,1,2
HH1206300,NL,4,4
HH1206400,NL,2,2
HH1206600,NL,5,5
HH1206800,NL,6,6
HH1207000,NL,1,41
HH1207100,NL,2,2
HH1207300,NL,3,3
HH1207900,NL,1,NA
HH1208200,NL,1,2
HH1208600,NL,1,NA
HH1209300,NL,2,2
HH1209600,NL,1,4
HH1209700,NL,2,4
HH1209800,NL,1,1
HH1210000,NL,3,3
HH1210200,NL,4,4
HH1210500,NL,2,3
HH1210900,NL,2,2
HH1211000,NL,4,4
HH1211100,NL,6,61
HH1211300,NL,1,3
HH1211700,NL,1,NA
HH1211800,NL,2,2
HH1211900,NL,2,2
HH1212000,NL,5,5
HH1212200,NL,4,4
HH1212300,NL,4,4
HH1212500,NL,4,4
HH1212700,NL,4,4
HH1213000,NL,2,2
HH1213100,NL,2,2
HH1213400,NL,4,3
HH1213600,NL,2,4
HH1213700,NL,1,1
HH1213900,NL,2,2
HH1214100,NL,1,3
HH1214400,NL,5,4
HH1214500,NL,2,2
HH1214600,NL,3,3
HH1214800,NL,4,4
HH1215200,NL,4,4
HH1215300,NL,4,4
HH1215400,NL,3,2
HH1215500,NL,3,2
HH1215600,NL,3,3
HH1215800,NL,1,2
HH1216100,NL,4,4
HH1216200,NL,3,3
HH1216400,NL,2,4
HH1216500,NL,1,4
HH1216600,NL,2,2
HH1216700,NL,2,33
HH1217000,NL,3,3
HH1217100,NL,2,4
HH1217400,NL,4,4
HH1217500,NL,4,4
HH1217700,NL,1,1
HH1217800,NL,1,3
HH1218100,NL,4,4
HH1218200,NL,4,4
HH1218500,NL,5,5
