part_id,round,survey_date,survey_day,dayofweek,year
1073400,0,2016-05-25,Wednesday,3,2016
1073500,0,2016-05-24,Tuesday,2,2016
1073700,0,2016-05-25,Wednesday,3,2016
1073800,0,2016-05-25,Wednesday,3,2016
1073900,0,2016-05-23,Monday,1,2016
1074000,0,2016-05-18,Wednesday,3,2016
1074200,0,2016-05-18,Wednesday,3,2016
1074400,0,2016-05-28,Saturday,6,2016
1074500,0,2016-05-14,Friday,5,2016
1074600,0,NA,Sunday,7,NA
1075000,0,2016-05-14,Saturday,6,2016
1075600,0,2016-05-21,Saturday,6,2016
1076000,0,2016-05-26,Thursday,4,2016
1076200,0,2016-05-17,Tuesday,2,2016
1076400,0,2016-05-31,Tuesday,2,2016
1076800,0,2016-05-20,Friday,5,2016
1077000,0,2016-05-31,Tuesday,2,2016
1077100,0,2016-05-28,Saturday,6,2016
1077200,0,2016-05-14,Saturday,6,2016
1077400,0,2016-05-29,Sunday,7,2016
1077500,0,2016-05-29,Monday,1,2016
1077700,0,2016-05-31,Tuesday,2,2016
1077800,0,2016-05-14,Friday,5,2016
1078500,0,2016-05-09,Monday,1,2016
1078700,0,2016-05-23,Monday,1,2016
1078800,0,2016-05-09,Monday,1,2016
1079000,0,2016-06-01,Wednesday,3,2016
1079100,0,2016-05-18,Wednesday,3,2016
1079500,0,2016-05-06,Friday,5,2016
1079700,0,2016-05-25,Wednesday,3,2016
1079800,0,2016-05-29,Sunday,7,2016
1080000,0,2016-05-31,Tuesday,2,2016
1080700,0,2016-05-23,Monday,1,2016
1080800,0,2016-06-03,Friday,5,2016
1081200,0,2016-05-21,Saturday,6,2016
1081600,0,2016-05-23,Monday,1,2016
1081900,0,2016-06-07,Tuesday,2,2016
1082200,0,2016-06-06,Monday,1,2016
1082400,0,2016-05-23,Monday,1,2016
1082500,0,2016-06-07,Tuesday,2,2016
1082600,0,2016-06-06,Monday,1,2016
1082700,0,2016-06-07,Tuesday,2,2016
1083000,0,2016-05-23,Monday,1,2016
1083400,0,2016-05-30,Monday,1,2016
1083500,0,2016-06-12,Saturday,6,2016
1083600,0,2016-06-11,Saturday,6,2016
1083900,0,2016-05-27,Saturday,6,2016
1084400,0,2016-06-11,Saturday,6,2016
1084600,0,NA,Sunday,7,NA
1085000,0,2016-05-29,Monday,1,2016
1085100,0,2016-06-14,Tuesday,2,2016
1085400,0,2016-06-07,Tuesday,2,2016
1085800,0,2016-04-26,Thursday,4,2016
1085900,0,2016-06-07,Tuesday,2,2016
1086000,0,2016-06-05,Sunday,7,2016
1086100,0,2016-06-07,Tuesday,2,2016
1086400,0,2016-06-06,Monday,1,2016
1086600,0,2016-06-07,Tuesday,2,2016
1086700,0,2016-06-07,Tuesday,2,2016
1086800,0,2016-05-21,Saturday,6,2016
1086900,0,2016-05-25,Wednesday,3,2016
1087200,0,2016-06-07,Tuesday,2,2016
1087700,0,2016-06-07,Tuesday,2,2016
1087900,0,2016-05-24,Tuesday,2,2016
1088100,0,2016-06-07,Tuesday,2,2016
1088200,0,2016-06-08,Wednesday,3,2016
1088500,0,2016-05-18,Wednesday,3,2016
1089000,0,2016-06-13,Monday,1,2016
1089100,0,2016-06-14,Wednesday,3,2016
1089200,0,2016-06-07,Tuesday,2,2016
1089600,0,2016-05-29,Sunday,7,2016
1089900,0,2016-06-11,Saturday,6,2016
1090200,0,2016-06-12,Sunday,7,2016
1090300,0,NA,Sunday,7,NA
1090400,0,2016-06-12,Sunday,7,2016
1090800,0,2016-06-12,Sunday,7,2016
1090900,0,2016-06-08,Wednesday,3,2016
1091200,0,2016-06-11,Saturday,6,2016
1091700,0,2016-06-14,Tuesday,2,2016
1091800,0,2016-05-29,Sunday,7,2016
1092100,0,2016-06-14,Tuesday,2,2016
1092200,0,NA,Tuesday,2,NA
1092500,0,2016-05-26,Thursday,4,2016
1092600,0,2016-06-08,Wednesday,3,2016
1093000,0,2016-06-01,Wednesday,3,2016
1093100,0,2016-06-13,Monday,1,2016
1093200,0,2016-06-14,Tuesday,2,2016
1093300,0,2016-06-14,Tuesday,2,2016
1093500,0,2016-06-14,Tuesday,2,2016
1093600,0,2016-06-14,Tuesday,2,2016
1093900,0,2016-06-01,Wednesday,3,2016
1094000,0,2016-05-31,Tuesday,2,2016
1094100,0,2016-05-29,Sunday,7,2016
1094200,0,2016-06-12,Sunday,7,2016
1094300,0,2016-06-13,Monday,1,2016
1094700,0,2016-06-13,Tuesday,2,2016
1094800,0,2016-06-13,Monday,1,2016
1094900,0,2016-06-14,Tuesday,2,2016
1095100,0,2016-06-06,Monday,1,2016
1095400,0,2016-06-15,Wednesday,3,2016
1095500,0,2016-06-04,Saturday,6,2016
1095600,0,2016-06-18,Sunday,7,2016
1095700,0,2016-06-16,Thursday,4,2016
1095900,0,2016-06-12,Sunday,7,2016
1096300,0,2016-06-13,Monday,1,2016
1096500,0,2016-06-08,Wednesday,3,2016
1096600,0,2016-06-19,Sunday,7,2016
1096700,0,2016-06-19,Sunday,7,2016
1097000,0,2016-06-19,Sunday,7,2016
1097900,0,2016-06-18,Saturday,6,2016
1098400,0,2016-06-19,Sunday,7,2016
1098500,0,2016-06-14,Tuesday,2,2016
1098800,0,NA,NA,NA,NA
1098900,0,2016-06-18,Saturday,6,2016
1099100,0,2016-06-07,Tuesday,2,2016
1099200,0,2016-06-10,Friday,5,2016
1099900,0,2016-06-13,Monday,1,2016
1100100,0,2016-06-19,Sunday,7,2016
1100300,0,2016-06-19,Sunday,7,2016
1100500,0,2016-06-04,Saturday,6,2016
1100800,0,2016-06-19,Tuesday,2,2016
1101000,0,2016-06-19,Tuesday,2,2016
1101100,0,2016-06-20,Monday,1,2016
1101300,0,2016-06-21,Tuesday,2,2016
1101400,0,2016-06-09,Wednesday,3,2016
1101500,0,2016-06-15,Saturday,6,2016
1101600,0,2016-06-20,Sunday,7,2016
1101800,0,2016-06-19,Monday,1,2016
1102200,0,2016-06-19,Sunday,7,2016
1102400,0,2016-06-21,Tuesday,2,2016
1102700,0,2016-06-03,Friday,5,2016
1102800,0,2016-06-21,Tuesday,2,2016
1103200,0,2016-06-15,Wednesday,3,2016
1103600,0,2016-06-14,Tuesday,2,2016
1103900,0,2016-06-12,Sunday,7,2016
1104100,0,2016-06-18,Saturday,6,2016
1104300,0,2016-06-20,Monday,1,2016
1104400,0,2016-06-12,Sunday,7,2016
1104600,0,2016-06-16,Thursday,4,2016
1104700,0,2016-06-12,Sunday,7,2016
1104900,0,2016-06-07,Monday,1,2016
1105000,0,2016-06-21,Tuesday,2,2016
1105600,0,2016-06-21,Tuesday,2,2016
1105700,0,2016-06-17,Friday,5,2016
1105800,0,2016-06-19,Sunday,7,2016
1105900,0,2016-06-21,Tuesday,2,2016
1106300,0,2016-06-07,Tuesday,2,2016
1106400,0,2016-06-20,Monday,1,2016
1106500,0,2016-06-20,Tuesday,2,2016
1106800,0,2016-05-29,Sunday,7,2016
1107200,0,2016-06-22,Wednesday,3,2016
1107300,0,2016-05-31,Monday,1,2016
1107500,0,2016-06-19,Sunday,7,2016
1108200,0,2016-06-11,Saturday,6,2016
1108700,0,2016-05-30,Monday,1,2016
1108800,0,2016-06-26,Saturday,6,2016
1108900,0,2016-06-26,Sunday,7,2016
1109000,0,2016-06-15,Wednesday,3,2016
1109300,0,2016-06-12,Sunday,7,2016
1109500,0,2016-06-21,Wednesday,3,2016
1109600,0,2016-06-26,Sunday,7,2016
1109800,0,2016-06-26,Sunday,7,2016
1110100,0,2016-06-25,Saturday,6,2016
1110200,0,2016-06-22,Wednesday,3,2016
1110700,0,2016-06-19,Sunday,7,2016
1110800,0,2016-06-19,Sunday,7,2016
1111000,0,2016-06-22,Wednesday,3,2016
1111100,0,2016-06-25,Saturday,6,2016
1111200,0,2016-06-25,Saturday,6,2016
1111600,0,2016-04-09,Saturday,6,2016
1111700,0,2016-06-26,Sunday,7,2016
1111800,0,2016-06-26,Sunday,7,2016
1111900,0,2016-06-11,Saturday,6,2016
1112100,0,2016-06-22,Wednesday,3,2016
1112200,0,2016-06-20,Monday,1,2016
1112300,0,2016-06-20,Monday,1,2016
1112700,0,2016-06-19,Sunday,7,2016
1112800,0,2016-06-15,Wednesday,3,2016
