part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
6333,6333_2_1_11,NA,35,45,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
6333,6333_2_1_12,NA,35,45,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,2
6333,6333_2_1_13,NA,25,30,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,2
6333,6333_2_1_14,NA,25,30,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,2
6333,6333_2_2_1,NA,25,35,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,5
6333,6333_2_2_2,NA,35,45,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,5
6333,6333_2_2_3,26,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,5
6333,6333_2_2_4,NA,25,30,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,1
6333,6333_2_2_5,NA,35,40,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,3
6333,6333_2_2_6,NA,35,45,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,2
6333,6333_2_2_7,NA,30,35,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,3
6333,6333_2_2_8,NA,40,50,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,2
6333,6333_2_2_9,NA,40,50,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,3
6333,6333_2_2_10,NA,40,50,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,3
6333,6333_2_2_11,NA,25,30,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,3
6333,6333_2_2_12,NA,30,35,M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,3
6333,6333_2_2_13,NA,45,55,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,3
6333,6333_2_2_14,NA,25,30,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,3
2300,2300_2_1_1,35,NA,NA,M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,4
2300,2300_2_1_2,4,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,3
2300,2300_2_1_3,34,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
2300,2300_2_1_4,42,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,2,3
2300,2300_2_1_5,42,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,3
2300,2300_2_1_6,17,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,3
2300,2300_2_1_7,13,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,2
2300,2300_2_1_8,36,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,3
2300,2300_2_1_9,64,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,3
2300,2300_2_2_1,34,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,4
2300,2300_2_2_2,35,NA,NA,M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,4
2300,2300_2_2_3,44,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
2300,2300_2_2_4,1,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
2300,2300_2_2_5,20,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2,3
2300,2300_2_2_6,40,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1
2300,2300_2_2_7,40,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1
11502,11502_2_1_1,47,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
11502,11502_2_1_2,NA,40,50,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_3,NA,50,55,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_4,NA,20,25,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_5,20,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
11502,11502_2_1_6,NA,20,22,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_7,NA,50,60,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_8,NA,70,80,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,3
11502,11502_2_1_9,NA,18,22,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_10,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
11502,11502_2_1_11,NA,55,60,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
11502,11502_2_1_12,NA,40,50,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
11502,11502_2_1_13,NA,45,50,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
