hh_id,country,hh_size
HH10173901,ch,2
HH10173903,ch,NA
HH10174001,ch,2
HH10174003,ch,NA
HH10174101,ch,2
HH10174103,ch,NA
HH10174201,ch,4
HH10174207,ch,NA
HH10174301,ch,4
HH10174305,ch,NA
HH10174307,ch,NA
HH10174308,ch,NA
HH10174309,ch,NA
HH10174401,ch,1
HH10174405,ch,NA
HH10174407,ch,NA
HH10174408,ch,NA
HH10174501,ch,2
HH10174503,ch,NA
HH10174601,ch,1
HH10174605,ch,NA
HH10174607,ch,NA
HH10174608,ch,NA
HH10174701,ch,3
HH10174801,ch,1
HH10174803,ch,NA
HH10174901,ch,2
HH10174907,ch,NA
HH10175001,ch,2
HH10175003,ch,NA
HH10175101,ch,4
HH10175103,ch,NA
HH10175201,ch,2
HH10175208,ch,NA
HH10175301,ch,2
HH10175303,ch,NA
HH10175401,ch,3
HH10175405,ch,NA
HH10175501,ch,3
HH10175505,ch,NA
HH10175507,ch,NA
HH10175508,ch,NA
HH10175601,ch,2
HH10175603,ch,NA
HH10175701,ch,2
HH10175703,ch,NA
HH10175801,ch,1
HH10175807,ch,NA
HH10175901,ch,5
HH10175903,ch,NA
HH10176001,ch,1
HH10176005,ch,NA
HH10176007,ch,NA
HH10176008,ch,NA
HH10176101,ch,1
HH10176103,ch,NA
HH10176201,ch,2
HH10176301,ch,1
HH10176303,ch,NA
HH10176401,ch,1
HH10176405,ch,NA
HH10176501,ch,1
HH10176503,ch,NA
HH10176601,ch,4
HH10176701,ch,2
HH10176707,ch,NA
HH10176708,ch,NA
HH10176709,ch,NA
HH10176801,ch,2
HH10176805,ch,NA
HH10176807,ch,NA
HH10176808,ch,NA
HH10176809,ch,NA
HH10176901,ch,4
HH10176903,ch,NA
HH10177001,ch,2
HH10177003,ch,NA
HH10177101,ch,2
HH10177103,ch,NA
HH10177201,ch,2
HH10177203,ch,NA
HH10177301,ch,2
HH10177303,ch,NA
HH10177401,ch,1
HH10177405,ch,NA
HH10177409,ch,NA
HH10177501,ch,2
HH10177503,ch,NA
HH10177601,ch,4
HH10177603,ch,NA
HH10177701,ch,2
HH10177703,ch,NA
HH10177801,ch,2
HH10177901,ch,2
HH10177909,ch,NA
HH10178001,ch,2
HH10178003,ch,NA
HH10178007,ch,NA
HH10178009,ch,NA
HH10178101,ch,1
HH10178103,ch,NA
HH10178201,ch,3
HH10178203,ch,NA
HH10178301,ch,1
HH10178303,ch,NA
HH10178401,ch,3
HH10178403,ch,NA
HH10178501,ch,2
HH10178503,ch,NA
HH10178601,ch,1
HH10178603,ch,NA
HH10178701,ch,3
HH10178703,ch,NA
HH10178801,ch,3
HH10178807,ch,NA
HH10178808,ch,NA
HH10178901,ch,2
