"part_id","hh_id","part_age","part_gender"
10006802,"HH10006802","60-69","M"
10006901,"HH10006901","40-49","M"
10007001,"HH10007001","60-69","F"
10007101,"HH10007101","70-120","M"
10007201,"HH10007201","30-39","F"
10007202,"HH10007202","30-39","F"
10007203,"HH10007203","30-39","F"
10007204,"HH10007204","30-39","F"
10007301,"HH10007301","50-59","M"
10007302,"HH10007302","50-59","M"
10007303,"HH10007303","50-59","M"
10007401,"HH10007401","70-120","M"
10007402,"HH10007402","70-120","M"
10007404,"HH10007404","70-120","M"
10007501,"HH10007501","50-59","F"
10007502,"HH10007502","50-59","F"
10007601,"HH10007601","30-39","M"
10007701,"HH10007701","40-49","F"
10007702,"HH10007702","40-49","F"
10007703,"HH10007703","40-49","F"
10007704,"HH10007704","40-49","F"
10007801,"HH10007801","60-69","F"
10007901,"HH10007901","30-39","F"
10007902,"HH10007902","30-39","F"
10008001,"HH10008001","50-59","F"
10008002,"HH10008002","50-59","F"
10008003,"HH10008003","50-59","F"
10008101,"HH10008101","50-59","M"
10008102,"HH10008102","50-59","M"
10008103,"HH10008103","50-59","M"
10008201,"HH10008201","40-49","F"
10008202,"HH10008202","40-49","F"
10008203,"HH10008203","40-49","F"
10008204,"HH10008204","40-49","F"
10008301,"HH10008301","18-29","F"
10008302,"HH10008302","18-29","F"
10008303,"HH10008303","18-29","F"
10008401,"HH10008401","60-69","M"
10008501,"HH10008501","70-120","M"
10008502,"HH10008502","70-120","M"
10008601,"HH10008601","40-49","M"
10008604,"HH10008604","40-49","M"
10008701,"HH10008701","18-29","F"
10008702,"HH10008702","18-29","F"
10008703,"HH10008703","18-29","F"
10008801,"HH10008801","30-39","F"
10008802,"HH10008802","30-39","F"
10008803,"HH10008803","30-39","F"
10008804,"HH10008804","30-39","F"
10008901,"HH10008901","60-69","M"
10008902,"HH10008902","60-69","M"
10008903,"HH10008903","60-69","M"
10009001,"HH10009001","60-69","M"
10009004,"HH10009004","60-69","M"
10009101,"HH10009101","60-69","M"
10009103,"HH10009103","60-69","M"
10009201,"HH10009201","60-69","M"
10009202,"HH10009202","60-69","M"
10009204,"HH10009204","60-69","M"
10009301,"HH10009301","60-69","M"
10009302,"HH10009302","60-69","M"
10009401,"HH10009401","50-59","M"
10009402,"HH10009402","50-59","M"
10009403,"HH10009403","50-59","M"
10009404,"HH10009404","50-59","M"
10009501,"HH10009501","40-49","M"
10009502,"HH10009502","40-49","M"
10009601,"HH10009601","18-29","M"
10009602,"HH10009602","18-29","M"
10009603,"HH10009603","18-29","M"
10009604,"HH10009604","18-29","M"
10009701,"HH10009701","70-120","F"
