cont_id,wave,studyDay
7360_2_1_31,2,1
7360_2_1_32,2,1
7360_2_1_33,2,1
7360_2_1_34,2,1
7360_2_1_35,2,1
7360_2_1_36,2,1
7360_2_1_37,2,1
7360_2_1_38,2,1
7360_2_1_39,2,1
7360_2_1_40,2,1
7360_2_2_1,2,2
7360_2_2_2,2,2
7360_2_2_3,2,2
7360_2_2_4,2,2
7360_2_2_5,2,2
7360_2_2_6,2,2
7360_2_2_7,2,2
7360_2_2_8,2,2
7360_2_2_9,2,2
7360_2_2_10,2,2
7360_2_2_11,2,2
7360_2_2_12,2,2
7360_2_2_13,2,2
7360_2_2_14,2,2
7360_2_2_15,2,2
10529_2_1_1,2,1
10529_2_1_2,2,1
10529_2_1_3,2,1
10529_2_1_4,2,1
10529_2_1_5,2,1
10529_2_1_6,2,1
10529_2_1_7,2,1
10529_2_1_8,2,1
10529_2_1_9,2,1
10529_2_1_10,2,1
10529_2_1_11,2,1
10529_2_1_12,2,1
10529_2_1_13,2,1
10529_2_1_14,2,1
10529_2_1_15,2,1
10529_2_1_16,2,1
10529_2_1_17,2,1
10529_2_1_18,2,1
10529_2_1_19,2,1
10529_2_1_20,2,1
10529_2_1_21,2,1
10529_2_2_1,2,2
10529_2_2_2,2,2
10529_2_2_3,2,2
10529_2_2_4,2,2
10529_2_2_5,2,2
10529_2_2_6,2,2
8519_2_1_1,2,1
8519_2_1_2,2,1
8519_2_1_3,2,1
8519_2_1_4,2,1
8519_2_1_5,2,1
8519_2_1_6,2,1
8519_2_1_7,2,1
8519_2_1_8,2,1
8519_2_1_9,2,1
8519_2_1_10,2,1
8519_2_1_11,2,1
8519_2_1_12,2,1
8519_2_1_13,2,1
8519_2_1_14,2,1
8519_2_1_15,2,1
8519_2_1_16,2,1
8519_2_1_17,2,1
8519_2_1_18,2,1
8519_2_1_19,2,1
8519_2_1_20,2,1
8519_2_1_21,2,1
8519_2_1_22,2,1
8519_2_1_23,2,1
8519_2_1_24,2,1
8519_2_1_25,2,1
8519_2_1_26,2,1
8519_2_1_27,2,1
8519_2_2_1,2,2
8519_2_2_2,2,2
8519_2_2_3,2,2
8519_2_2_4,2,2
8519_2_2_5,2,2
7721_2_1_1,2,1
7721_2_1_2,2,1
7721_2_1_3,2,1
7721_2_2_1,2,2
7721_2_2_2,2,2
7721_2_2_3,2,2
7721_2_2_4,2,2
7721_2_2_5,2,2
2372_2_1_1,2,1
2372_2_1_2,2,1
2372_2_2_1,2,2
2372_2_2_2,2,2
2372_2_2_3,2,2
4371_2_1_1,2,1
4371_2_1_2,2,1
4371_2_1_3,2,1
4371_2_1_4,2,1
4371_2_1_5,2,1
4371_2_1_6,2,1
4371_2_1_7,2,1
4371_2_1_8,2,1
4371_2_1_9,2,1
4371_2_2_1,2,2
4371_2_2_2,2,2
4371_2_2_3,2,2
4371_2_2_4,2,2
4371_2_2_5,2,2
4371_2_2_6,2,2
4371_2_2_7,2,2
4371_2_2_8,2,2
4371_2_2_9,2,2
4371_2_2_10,2,2
506_2_1_1,2,1
506_2_1_2,2,1
506_2_1_3,2,1
506_2_2_1,2,2
506_2_2_2,2,2
506_2_2_3,2,2
5011_2_1_1,2,1
5011_2_1_2,2,1
5011_2_2_1,2,2
5011_2_2_2,2,2
5011_2_2_3,2,2
1786_2_1_1,2,1
1786_2_1_2,2,1
1786_2_1_3,2,1
1786_2_1_4,2,1
1786_2_1_5,2,1
1786_2_1_6,2,1
1786_2_1_7,2,1
1786_2_1_8,2,1
1786_2_1_9,2,1
1786_2_1_10,2,1
1786_2_1_11,2,1
1786_2_1_12,2,1
1786_2_1_13,2,1
1786_2_1_14,2,1
1786_2_1_15,2,1
1786_2_1_16,2,1
1786_2_1_17,2,1
1786_2_1_18,2,1
1786_2_1_19,2,1
1786_2_1_20,2,1
1786_2_1_21,2,1
1786_2_1_22,2,1
1786_2_1_23,2,1
1786_2_1_24,2,1
1786_2_1_25,2,1
1786_2_2_1,2,2
1786_2_2_2,2,2
1786_2_2_3,2,2
1786_2_2_4,2,2
1786_2_2_5,2,2
1786_2_2_6,2,2
1786_2_2_7,2,2
1786_2_2_8,2,2
1786_2_2_9,2,2
1786_2_2_10,2,2
1786_2_2_11,2,2
1786_2_2_12,2,2
1786_2_2_13,2,2
1786_2_2_14,2,2
1786_2_2_15,2,2
1786_2_2_16,2,2
1786_2_2_17,2,2
1786_2_2_18,2,2
1786_2_2_19,2,2
346_2_1_1,2,1
346_2_1_2,2,1
346_2_1_3,2,1
346_2_1_4,2,1
346_2_1_5,2,1
346_2_1_6,2,1
346_2_1_7,2,1
346_2_1_8,2,1
346_2_1_9,2,1
346_2_1_10,2,1
346_2_1_11,2,1
346_2_1_12,2,1
346_2_1_13,2,1
346_2_1_14,2,1
346_2_1_15,2,1
346_2_1_16,2,1
346_2_1_17,2,1
346_2_2_1,2,2
346_2_2_2,2,2
346_2_2_3,2,2
346_2_2_4,2,2
346_2_2_5,2,2
346_2_2_6,2,2
311_2_1_1,2,1
311_2_1_2,2,1
