"hh_id","hh_size_group"
"HH1442","(2,3]"
"HH1443","(2,3]"
"HH1444","(2,3]"
"HH1445","(2,3]"
"HH1446","(2,3]"
"HH1447","(2,3]"
"HH1448","(2,3]"
"HH1449","(3,4]"
"HH1450","(2,3]"
"HH1451","(1,2]"
"HH1452","(1,2]"
"HH1453","(3,4]"
"HH1454","(2,3]"
"HH1455","(2,3]"
"HH1456","(3,4]"
"HH1457","(2,3]"
"HH1458","(0,1]"
"HH1459","(2,3]"
"HH1460","(0,1]"
"HH1461","(2,3]"
"HH1462","(0,1]"
"HH1463","(2,3]"
"HH1464","(2,3]"
"HH1465","(2,3]"
"HH1466","(0,1]"
"HH1467","(0,1]"
"HH1468","(3,4]"
"HH1469","(2,3]"
"HH1470","(1,2]"
"HH1471","(2,3]"
"HH1472","(2,3]"
"HH1473","(3,4]"
"HH1474","(1,2]"
"HH1475","(0,1]"
"HH1476","(2,3]"
"HH1477","(0,1]"
"HH1478","(0,1]"
"HH1479","(3,4]"
"HH1480","(2,3]"
"HH1481","(0,1]"
"HH1482","(3,4]"
"HH1483","(2,3]"
"HH1484","(4,20]"
"HH1485","(3,4]"
"HH1486","(1,2]"
"HH1487","(4,20]"
"HH1488","(2,3]"
"HH1489","(1,2]"
"HH1490","(2,3]"
"HH1491","(3,4]"
"HH1492","(0,1]"
"HH1493","(2,3]"
"HH1494","(2,3]"
"HH1495","(1,2]"
"HH1496","(2,3]"
"HH1497","(0,1]"
"HH1498","(0,1]"
"HH1499","(2,3]"
"HH1500","(2,3]"
"HH1501","(2,3]"
"HH1502","(2,3]"
"HH1503","(2,3]"
"HH1504","(0,1]"
"HH1505","(3,4]"
"HH1506","(2,3]"
"HH1507","(1,2]"
"HH1508","(3,4]"
"HH1509","(4,20]"
"HH1510","(2,3]"
"HH1511","(1,2]"
"HH1512","(3,4]"
"HH1513","(0,1]"
"HH1514","(2,3]"
"HH1515","(4,20]"
"HH1516","(2,3]"
"HH1517","(1,2]"
"HH1518","(1,2]"
"HH1519","(1,2]"
"HH1520","(4,20]"
"HH1521","(1,2]"
"HH1522","(2,3]"
"HH1523","(0,1]"
"HH1524","(1,2]"
"HH1525","(1,2]"
"HH1526","(2,3]"
"HH1527","(0,1]"
"HH1528","(3,4]"
"HH1529","(3,4]"
"HH1530","(3,4]"
"HH1531","(4,20]"
"HH1532","(0,1]"
"HH1533","(2,3]"
"HH1534","(1,2]"
"HH1535","(1,2]"
"HH1536","(2,3]"
"HH1537","(0,1]"
"HH1538","(3,4]"
"HH1539","(0,1]"
"HH1540","(1,2]"
"HH1541","(2,3]"
"HH1542","(4,20]"
"HH1543","(4,20]"
"HH1544","(2,3]"
"HH1545","(0,1]"
"HH1546","(4,20]"
"HH1547","(4,20]"
"HH1548","(0,1]"
"HH1549","(3,4]"
"HH1550","(2,3]"
"HH1551","(2,3]"
"HH1552","(2,3]"
"HH1553","(3,4]"
"HH1554","(2,3]"
"HH1555","(2,3]"
"HH1556","(2,3]"
"HH1557","(4,20]"
"HH1558","(3,4]"
"HH1559","(2,3]"
"HH1560","(2,3]"
"HH1561","(1,2]"
"HH1562","(2,3]"
"HH1563","(3,4]"
"HH1564","(3,4]"
"HH1565","(4,20]"
"HH1566","(2,3]"
"HH1567","(3,4]"
"HH1568","(2,3]"
"HH1569","(3,4]"
"HH1570","(2,3]"
"HH1571","(2,3]"
"HH1572","(3,4]"
"HH1573","(2,3]"
"HH1574","(2,3]"
"HH1575","(2,3]"
"HH1576","(3,4]"
"HH1577","(3,4]"
"HH1578","(2,3]"
"HH1579","(2,3]"
"HH1580","(2,3]"
"HH1581","(2,3]"
"HH1582","(2,3]"
"HH1583","(2,3]"
"HH1584","(2,3]"
"HH1585","(3,4]"
"HH1586","(3,4]"
"HH1587","(3,4]"
"HH1588","(2,3]"
"HH1589","(3,4]"
"HH1590","(2,3]"
"HH1591","(2,3]"
"HH1592","(4,20]"
"HH1593","(2,3]"
"HH1594","(1,2]"
"HH1595","(2,3]"
"HH1596","(2,3]"
"HH1597","(2,3]"
"HH1598","(2,3]"
"HH1599","(2,3]"
"HH1600","(2,3]"
"HH1601","(2,3]"
"HH1602","(3,4]"
"HH1603","(2,3]"
"HH1604","(2,3]"
"HH1605","(2,3]"
"HH1606","(2,3]"
"HH1607","(2,3]"
"HH1608","(2,3]"
"HH1609","(2,3]"
"HH1610","(2,3]"
"HH1611","(2,3]"
"HH1612","(2,3]"
"HH1613","(2,3]"
"HH1614","(2,3]"
"HH1615","(2,3]"
"HH1616","(2,3]"
"HH1617","(2,3]"
"HH1618","(2,3]"
"HH1619","(3,4]"
"HH1620","(2,3]"
"HH1621","(2,3]"
"HH1622","(2,3]"
"HH1623","(2,3]"
"HH1624","(2,3]"
"HH1625","(2,3]"
"HH1626","(2,3]"
"HH1627","(2,3]"
"HH1628","(2,3]"
"HH1629","(2,3]"
"HH1630","(2,3]"
"HH1631","(2,3]"
"HH1632","(2,3]"
"HH1633","(2,3]"
"HH1634","(3,4]"
"HH1635","(4,20]"
"HH1636","(2,3]"
"HH1637","(4,20]"
"HH2001","(2,3]"
"HH2002","(4,20]"
"HH2003","(3,4]"
"HH2004","(1,2]"
"HH2005","(0,1]"
"HH2006","(1,2]"
"HH2007","(3,4]"
"HH2008","(3,4]"
"HH2009","(2,3]"
"HH2010","(3,4]"
"HH2011","(0,1]"
"HH2012","(4,20]"
"HH2013","(4,20]"
"HH2014","(4,20]"
"HH2015","(2,3]"
"HH2016","(3,4]"
"HH2017","(3,4]"
"HH2019","(4,20]"
"HH2020","(1,2]"
"HH2021","(3,4]"
"HH2022","(2,3]"
"HH2023","(2,3]"
"HH2024","(3,4]"
"HH2025","(2,3]"
"HH2026","(4,20]"
"HH2028","(2,3]"
"HH2029","(2,3]"
"HH2030","(1,2]"
"HH2031","(1,2]"
"HH2032","(3,4]"
"HH2033","(1,2]"
"HH2034","(1,2]"
"HH2035","(4,20]"
"HH2036","(2,3]"
"HH2037","(2,3]"
"HH2038","(1,2]"
"HH2039","(0,1]"
"HH2040","(3,4]"
"HH2041","(2,3]"
"HH2042","(4,20]"
"HH2043","(4,20]"
"HH2044","(1,2]"
"HH2045","(3,4]"
"HH2046","(4,20]"
"HH2047","(3,4]"
"HH2048","(4,20]"
"HH2049","(2,3]"
"HH2050","(2,3]"
"HH2051","(2,3]"
"HH2052","(1,2]"
"HH2053","(0,1]"
"HH2054","(2,3]"
"HH2055","(4,20]"
"HH2056","(3,4]"
"HH2057","(4,20]"
"HH2058","(0,1]"
"HH2059","(1,2]"
"HH2060","(1,2]"
"HH2061","(2,3]"
"HH2062","(0,1]"
"HH2063","(4,20]"
"HH2064","(1,2]"
"HH2065","(1,2]"
"HH2066","(1,2]"
"HH2067","(2,3]"
"HH2068","(3,4]"
"HH2069","(2,3]"
"HH2070","(2,3]"
"HH2071","(1,2]"
"HH2072","(2,3]"
"HH2073","(4,20]"
