cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
uk_G1_700619105,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619106,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619107,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619108,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619109,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619110,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619111,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619112,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619113,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619114,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619115,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619116,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619117,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619118,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619119,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619120,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619121,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619122,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619123,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619124,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619125,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619126,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619127,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619128,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619129,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619130,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619131,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619132,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619133,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619134,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619135,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619136,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619137,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619138,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619139,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619140,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619141,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619142,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619143,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619144,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619145,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619146,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619147,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619148,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619149,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619150,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619151,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619152,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619153,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619154,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619155,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619156,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619157,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619158,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619159,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619160,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619161,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619162,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619163,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619164,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619165,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619166,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619167,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619168,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619169,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
