"hh_id","country","hh_size"
"HHat_A1_103386","at",2
"HHat_A1_103387","at",2
"HHat_A1_103388","at",1
"HHat_A1_103389","at",2
"HHat_A1_103390","at",2
"HHat_A1_103391","at",2
"HHat_A1_103392","at",1
"HHat_A1_103393","at",4
"HHat_A1_103394","at",2
"HHat_A1_103395","at",3
"HHat_A1_103396","at",2
"HHat_A1_103397","at",2
"HHat_A1_103398","at",5
"HHat_A1_103399","at",3
"HHat_A1_103400","at",3
"HHat_A1_103401","at",5
"HHat_A1_103402","at",2
"HHat_A1_103403","at",2
"HHat_A1_103404","at",1
"HHat_A1_103405","at",5
"HHat_A1_103406","at",1
"HHat_A1_103407","at",4
"HHat_A1_103408","at",2
"HHat_A1_103409","at",4
"HHat_A1_103410","at",2
"HHat_A1_103411","at",2
"HHat_A1_103412","at",4
"HHat_A1_103413","at",2
"HHat_A1_103414","at",1
"HHat_A1_103415","at",2
"HHat_A1_103416","at",4
"HHat_A1_103417","at",2
"HHat_A1_103418","at",2
"HHat_A1_103419","at",2
"HHat_A1_103420","at",2
"HHat_A1_103421","at",2
"HHat_A1_103422","at",5
"HHat_A1_103423","at",1
"HHat_A1_103424","at",1
"HHat_A1_103425","at",4
"HHat_A1_103426","at",3
"HHat_A1_103427","at",3
"HHat_A1_103428","at",3
"HHat_A1_103429","at",3
"HHat_A1_103430","at",3
"HHat_A1_103431","at",1
"HHat_A1_103432","at",2
"HHat_A1_103433","at",1
"HHat_A1_103434","at",3
"HHat_A1_103435","at",1
"HHat_A1_103436","at",2
"HHat_A1_103437","at",3
"HHat_A1_103438","at",4
"HHat_A1_103439","at",2
"HHat_A1_103440","at",1
"HHat_A1_103441","at",5
"HHat_A1_103442","at",1
"HHat_A1_103443","at",4
"HHat_A1_103444","at",2
"HHat_A1_103445","at",1
"HHat_A1_103446","at",3
"HHat_A1_103447","at",2
"HHat_A1_103448","at",1
"HHat_A1_103449","at",3
"HHat_A1_103450","at",2
"HHat_A1_103451","at",5
"HHat_A1_103452","at",1
"HHat_A1_103453","at",4
"HHat_A1_103454","at",2
"HHat_A1_103455","at",3
"HHat_A1_103456","at",2
"HHat_A1_103457","at",1
"HHat_A1_103458","at",2
"HHat_A1_103459","at",2
"HHat_A1_103460","at",1
"HHat_A1_103461","at",2
"HHat_A1_103462","at",3
"HHat_A1_103463","at",5
"HHat_A1_103464","at",1
"HHat_A1_103465","at",2
"HHat_A1_103466","at",4
"HHat_A1_103467","at",2
"HHat_A1_103468","at",1
"HHat_A1_103469","at",4
"HHat_A1_103470","at",3
"HHat_A1_103471","at",1
"HHat_A1_103472","at",1
"HHat_A1_103473","at",2
"HHat_A1_103474","at",1
"HHat_A1_103475","at",1
"HHat_A1_103476","at",2
"HHat_A1_103477","at",2
"HHat_A1_103478","at",2
"HHat_A1_103479","at",4
"HHat_A1_103480","at",4
"HHat_A1_103481","at",2
"HHat_A1_103482","at",1
"HHat_A1_103483","at",2
"HHat_A1_103484","at",2
"HHat_A1_103485","at",4
"HHat_A1_103486","at",5
"HHat_A1_103487","at",4
"HHat_A1_103488","at",4
"HHat_A1_103489","at",2
"HHat_A1_103490","at",2
"HHat_A1_103491","at",1
"HHat_A1_103492","at",3
"HHat_A1_103493","at",3
"HHat_A1_103494","at",1
"HHat_A1_103495","at",1
"HHat_A1_103496","at",1
"HHat_A1_103497","at",2
"HHat_A1_103498","at",1
"HHat_A1_103499","at",4
"HHat_A1_103500","at",3
"HHat_A1_103501","at",2
"HHat_A1_103502","at",2
"HHat_A1_103503","at",1
"HHat_A1_103504","at",4
"HHat_A1_103505","at",2
"HHat_A1_103506","at",2
"HHat_A1_103507","at",5
"HHat_A1_103508","at",1
"HHat_A1_103509","at",4
"HHat_A1_103510","at",2
"HHat_A1_103511","at",2
"HHat_A1_103512","at",2
"HHat_A1_103513","at",2
"HHat_A1_103514","at",1
"HHat_A1_103515","at",3
"HHat_A1_103516","at",3
"HHat_A1_103517","at",3
"HHat_A1_103518","at",2
"HHat_A1_103519","at",3
"HHat_A1_103520","at",4
"HHat_A1_103521","at",1
"HHat_A1_103522","at",2
"HHat_A1_103523","at",1
"HHat_A1_103524","at",3
"HHat_A1_103525","at",1
"HHat_A1_103526","at",1
"HHat_A1_103527","at",2
"HHat_A1_103528","at",1
"HHat_A1_103529","at",2
"HHat_A1_103530","at",2
"HHat_A1_103531","at",3
"HHat_A1_103532","at",1
"HHat_A1_103533","at",1
