"part_id","sday_id","day","month","year","dayofweek","holiday"
55976,20101115,15,11,2010,1,"0"
56016,20101116,16,11,2010,2,"0"
59635,20101026,26,10,2010,2,"0"
59730,20101028,28,10,2010,4,"0"
60001,20110211,11,2,2011,5,"0"
60002,20110210,10,2,2011,4,"0"
60003,20110208,8,2,2011,2,"0"
60004,20110209,9,2,2011,3,"0"
60005,20110211,11,2,2011,5,"0"
60006,20110206,6,2,2011,0,"0"
60007,20110206,6,2,2011,0,"0"
60008,20110207,7,2,2011,1,"0"
60009,20110206,6,2,2011,0,"0"
60011,20110206,6,2,2011,0,"0"
60012,20110206,6,2,2011,0,"0"
65989,20101115,15,11,2010,1,"0"
72620,20101029,29,10,2010,5,"0"
77167,20101116,16,11,2010,2,"0"
78144,20101029,29,10,2010,5,"0"
81043,20101214,14,12,2010,2,"0"
81678,20101031,31,10,2010,0,"1"
81991,20101117,17,11,2010,3,"0"
84346,20101117,17,11,2010,3,"0"
92192,20101117,17,11,2010,3,"0"
93834,20101027,27,10,2010,3,"0"
97902,20101103,3,11,2010,3,"1"
101292,20101118,18,11,2010,4,"0"
101499,20101117,17,11,2010,3,"0"
101565,20101025,25,10,2010,1,"0"
102388,20101117,17,11,2010,3,"0"
104728,20101110,10,11,2010,3,"0"
108387,20101125,25,11,2010,4,"0"
108837,20101026,26,10,2010,6,"0"
111403,20101103,3,11,2010,3,"1"
113146,20101120,20,11,2010,2,"0"
115983,20101028,28,10,2010,4,"0"
118408,20101116,16,11,2010,2,"0"
118535,20101029,29,10,2010,5,"0"
120038,20101025,25,10,2010,1,"0"
120152,20101115,15,11,2010,1,"0"
120226,20101027,27,10,2010,3,"0"
123951,20101026,26,10,2010,2,"0"
124592,20101029,29,10,2010,5,"0"
127249,20101119,19,11,2010,5,"0"
127270,20101117,17,11,2010,3,"0"
127299,20101117,17,11,2010,3,"0"
129718,20101026,26,10,2010,2,"0"
130779,20101026,26,10,2010,2,"0"
132169,20101128,28,11,2010,0,"0"
132701,20101025,25,10,2010,1,"0"
133609,20101118,18,11,2010,4,"0"
140370,20101117,17,11,2010,3,"0"
143921,20101027,27,10,2010,3,"0"
147268,20101027,27,10,2010,3,"0"
147532,20101027,27,10,2010,3,"0"
151212,20101117,17,11,2010,3,"0"
154799,20101026,26,10,2010,2,"0"
160773,20101116,16,11,2010,2,"0"
163265,20101106,6,11,2010,6,"1"
163924,20101028,28,10,2010,4,"0"
170596,20101202,2,12,2010,4,"0"
170729,20101120,20,11,2010,6,"0"
170929,20101117,17,11,2010,3,"0"
172249,20101029,29,10,2010,5,"0"
174345,20101027,27,10,2010,3,"0"
178287,20101115,15,11,2010,1,"0"
181118,20101028,28,10,2010,4,"0"
181882,20101121,21,11,2010,0,"0"
184160,20101026,26,10,2010,2,"0"
188189,20101024,24,10,2010,0,"0"
188749,20101027,27,10,2010,3,"0"
191529,20101029,29,10,2010,5,"0"
192682,20101029,29,10,2010,5,"0"
201795,20101127,27,11,2010,6,"0"
205052,20101128,28,11,2010,0,"0"
210174,20101117,17,11,2010,3,"0"
213544,20101026,26,10,2010,2,"0"
215665,20101029,29,10,2010,5,"0"
216250,20101027,27,10,2010,3,"0"
216622,20101026,26,10,2010,2,"0"
217612,20101127,27,11,2010,6,"0"
218307,20101128,28,11,2010,0,"0"
218575,20101128,28,11,2010,0,"0"
221582,20101028,28,10,2010,4,"0"
222889,20101116,16,11,2010,2,"0"
223825,20101117,17,11,2010,3,"0"
225664,20101026,26,10,2010,2,"0"
227760,20101029,29,10,2010,5,"0"
231634,20101116,16,11,2010,2,"0"
236095,20101118,18,11,2010,4,"0"
237254,20101117,17,11,2010,3,"0"
238070,20101204,4,12,2010,6,"0"
239183,20101127,27,11,2010,6,"0"
239374,20101121,21,11,2010,0,"0"
241778,20101029,29,10,2010,5,"0"
243369,20101029,29,10,2010,5,"0"
244303,20101027,27,10,2010,3,"0"
244706,20101028,28,10,2010,4,"0"
249821,20101029,29,10,2010,5,"0"
255010,20101119,19,11,2010,5,"0"
256146,20101027,27,10,2010,3,"0"
258605,20101027,27,10,2010,3,"0"
262080,20101115,15,11,2010,1,"0"
270985,20101116,16,11,2010,2,"0"
274203,20101027,27,10,2010,3,"0"
278685,20101029,29,10,2010,5,"0"
279254,20101220,20,12,2010,1,"0"
280492,20101027,27,10,2010,3,"0"
