key,strat,model,n_sample,mean_raw,mean,mean_l,mean_u,waic
Leung_2017_paper,home,ZeroInfPoissonLomax,343,2.0932944606413995,2.1591153484794825,1.8538323977902837,2.4344070809294243,1346.3389453861707
Leung_2017_paper,non-home,ZeroInfNegativeBinomial,343,8.306122448979592,8.279265200756134,7.4273785402931765,9.199276176114179,2179.488477974166
Leung_2017_paper,non-home,ZeroInfPoissonLogNormal,343,8.306122448979592,8.134137156854072,7.2297361895035515,9.27885815933001,2162.404479695307
Leung_2017_paper,non-home,ZeroInfPoissonLomax,343,8.306122448979592,8.383945963412295,7.385447609504695,9.666797737457797,2171.001145866311
CoMix2,home,ZeroInfNegativeBinomial,37347,1.4604653653573245,1.4610851437736492,1.444909256708561,1.4752035124642304,119937.52409718616
CoMix2,home,ZeroInfPoissonLogNormal,37347,1.4604653653573245,1.459905429829063,1.4460426486098452,1.4740176561181562,119832.20759705013
CoMix2,home,ZeroInfPoissonLomax,37347,1.4604653653573245,1.463271900649564,1.4413184194405422,1.479985333762263,124170.16353272635
CoMix2,non-home,ZeroInfNegativeBinomial,37347,5.0802206335180875,5.07639390393104,4.9552361048091775,5.200653192418102,154032.77319858596
CoMix2,non-home,ZeroInfPoissonLogNormal,37347,5.0802206335180875,3.670842044128064,3.5406446004475196,3.800364345295656,146697.96650866338
CoMix2,non-home,ZeroInfPoissonLomax,37347,5.0802206335180875,5.432374331970045,4.877328865273009,6.128216915791522,146268.71213250025
CoMix2_at,home,ZeroInfNegativeBinomial,4155,1.303971119133574,1.3035738219974429,1.2608494716304488,1.3475473204781223,12851.300289400446
CoMix2_at,home,ZeroInfPoissonLogNormal,4155,1.303971119133574,1.3041871517124968,1.260471726578017,1.350736327004033,12819.103499530747
CoMix2_at,home,ZeroInfPoissonLomax,4155,1.303971119133574,1.304706701571096,1.251241979937403,1.3654990088311154,13117.084079151411
CoMix2_at,non-home,ZeroInfNegativeBinomial,4155,5.765342960288809,5.766649340229655,5.279252734482979,6.269404873997679,15386.22881275818
CoMix2_at,non-home,ZeroInfPoissonLogNormal,4155,5.765342960288809,3.4535140561636486,3.061390286624594,4.02082548473111,14469.935007112006
CoMix2_at,non-home,ZeroInfPoissonLomax,4155,5.765342960288809,9.676385981987105,4.659478374536924,63.10684088094243,14430.478258610454
CoMix2_be,home,ZeroInfNegativeBinomial,4127,1.2437606009207658,1.244811957435827,1.2049040372345363,1.2809950303241127,12410.606964889752
CoMix2_be,home,ZeroInfPoissonLogNormal,4127,1.2437606009207658,1.2426179374978439,1.1992582664257525,1.284918350745314,12368.543916051898
CoMix2_be,home,ZeroInfPoissonLomax,4127,1.2437606009207658,1.238551357654948,1.2003063172383206,1.2980878681571986,12741.216189289742
CoMix2_be,non-home,ZeroInfNegativeBinomial,4127,4.406106130361037,4.411419486956475,4.0774998255765444,4.802247892192283,15359.001972671269
CoMix2_be,non-home,ZeroInfPoissonLogNormal,4127,4.406106130361037,3.9401719188556807,3.491268623321674,4.5875024334415215,14891.193544630845
CoMix2_be,non-home,ZeroInfPoissonLomax,4127,4.406106130361037,13.733856985162781,5.616378776035932,153.74674405107783,14877.909851867846
CoMix2_dk,home,ZeroInfNegativeBinomial,4139,1.2589997583957477,1.2571396219030087,1.2205972273522583,1.2969025822214961,12546.350373743582
CoMix2_dk,home,ZeroInfPoissonLogNormal,4139,1.2589997583957477,1.252585926458811,1.2093328749117707,1.2923779006993394,12466.52747800417
CoMix2_dk,home,ZeroInfPoissonLomax,4139,1.2589997583957477,1.2596589906210454,1.211585593823632,1.3138122553315825,12852.082442100613
CoMix2_dk,non-home,ZeroInfNegativeBinomial,4139,6.778448900700653,6.779572136547502,6.291576030294228,7.346872636634745,18571.10010681305
CoMix2_dk,non-home,ZeroInfPoissonLogNormal,4139,6.778448900700653,4.804629239543074,4.3664189591800255,5.385568668467237,17751.57195008232
CoMix2_dk,non-home,ZeroInfPoissonLomax,4139,6.778448900700653,7.44844341138839,5.627217538594498,12.082775358274148,17705.839414475908
CoMix2_ee,home,ZeroInfNegativeBinomial,4167,1.400287976961843,1.4022614497923207,1.3587302472729739,1.4404988208911436,13110.610564727975
CoMix2_ee,home,ZeroInfPoissonLogNormal,4167,1.400287976961843,1.4005823821681722,1.35611730493166,1.4404631570989774,13099.998120486627
CoMix2_ee,home,ZeroInfPoissonLomax,4167,1.400287976961843,1.4035047282954003,1.3488990663069156,1.4615080243096668,13601.22520608124
CoMix2_ee,non-home,ZeroInfNegativeBinomial,4167,9.963522918166547,9.94737029936693,9.264764936644223,10.742541088449704,20550.294406817025
CoMix2_ee,non-home,ZeroInfPoissonLogNormal,4167,9.963522918166547,6.753559822614736,6.011329550413405,7.630462274603312,19468.77153246976
CoMix2_ee,non-home,ZeroInfPoissonLomax,4167,9.963522918166547,24.365385772005784,11.152140420682402,172.61214793776713,19421.012100818873
CoMix2_gr,home,ZeroInfNegativeBinomial,4261,1.45036376437456,1.4497131985261358,1.4112313338921079,1.4900732824746497,13504.150555986696
CoMix2_gr,home,ZeroInfPoissonLogNormal,4261,1.45036376437456,1.4479997611216062,1.41104290905971,1.489838170722318,13502.479956344605
CoMix2_gr,home,ZeroInfPoissonLomax,4261,1.45036376437456,1.4434683230637377,1.3906281301806207,1.5149595585305913,14134.920417001174
CoMix2_gr,non-home,ZeroInfNegativeBinomial,4261,4.430884768833607,4.434854252295465,4.112554026679608,4.740570843362107,17137.26092387402
CoMix2_gr,non-home,ZeroInfPoissonLogNormal,4261,4.430884768833607,3.2258498909826567,2.9278871231554677,3.5825607091105827,16290.295615671059
CoMix2_gr,non-home,ZeroInfPoissonLomax,4261,4.430884768833607,4.5072209102319825,3.6405067630752423,6.365599227043479,16227.546272259535
CoMix2_hr,home,ZeroInfNegativeBinomial,4170,1.8532374100719424,1.8537748285215125,1.8085423932595048,1.899729586482948,14396.038062559612
CoMix2_hr,home,ZeroInfPoissonLogNormal,4170,1.8532374100719424,1.8514492165019487,1.804087080530249,1.9027401490603866,14393.871503421944
CoMix2_hr,home,ZeroInfPoissonLomax,4170,1.8532374100719424,1.851399845965181,1.7843782508428596,1.93193238539604,15429.63714310369
CoMix2_hr,non-home,ZeroInfNegativeBinomial,4170,4.545323741007194,4.54297530593766,4.2779620937187515,4.8413274261257335,18758.890435263726
CoMix2_hr,non-home,ZeroInfPoissonLogNormal,4170,4.545323741007194,3.3619866512796084,3.113530256302081,3.6533520852766515,17707.58311696822
CoMix2_hr,non-home,ZeroInfPoissonLomax,4170,4.545323741007194,3.9677137362577852,3.5155243806742735,4.682066172152084,17641.981250040164
CoMix2_it,home,ZeroInfNegativeBinomial,4199,1.449154560609669,1.4499294028329686,1.4106940675549373,1.492361859000472,13318.86636529913
CoMix2_it,home,ZeroInfPoissonLogNormal,4199,1.449154560609669,1.449590056579698,1.4116768956631576,1.4901462094261444,13317.296945500351
CoMix2_it,home,ZeroInfPoissonLomax,4199,1.449154560609669,1.4555226578851774,1.390727260019635,1.511652199347714,13923.913481734438
CoMix2_it,non-home,ZeroInfNegativeBinomial,4199,1.936413431769469,1.9425846783240417,1.8290555826973571,2.053836644558314,13996.468660982566
CoMix2_it,non-home,ZeroInfPoissonLogNormal,4199,1.936413431769469,1.754256944957017,1.6321118398178034,1.892292082933479,13683.79559854031
