q,q_v,mean,lower,upper,key,strat
0.98,11.0,0.28831734097346257,-0.28778560659033414,1.1305758617274635,Hens_2009,home
0.95,9.0,0.1059198439016594,-0.09506663772146551,0.3654356725781275,Beraud_2015,home
0.97,11.0,0.07298119725656423,-0.32246277247221167,0.43130485079899206,Beraud_2015,home
0.98,12.0,0.13532538652006718,-0.31454759509638597,0.6437786942236448,Beraud_2015,home
0.95,14.0,-0.032712367450690956,-0.3104858615611549,0.3203823747889831,Melegaro_2017,home
0.97,18.0,0.14776574037526094,-0.4064887115399922,0.7756219437884017,Melegaro_2017,home
0.98,19.17999999999995,0.19832361582065636,-0.4308087838580345,1.2080087363610652,Melegaro_2017,home
0.95,6.0,0.9243034162467028,0.8684138999914959,0.9769925806491732,CoMix_uk_internal,non-home
0.97,11.0,0.7589517148801265,0.6922370293280491,0.8360767331777842,CoMix_uk_internal,non-home
0.98,18.0,0.7207825871432237,0.6384252805945203,0.7947227896541582,CoMix_uk_internal,non-home
0.95,86.05000000000018,0.7215500021636013,0.5284095373169659,0.950585377208318,Danon_2013,non-home
0.97,124.02999999999975,1.0709031240684292,0.7897427835916137,1.4260857546690344,Danon_2013,non-home
0.98,161.0,1.4071074109411692,0.9376432165958004,1.923858812713782,Danon_2013,non-home
0.95,95.0,0.92481445187646,0.6705991418743352,1.2514348081113018,Danon_2013_post,non-home
0.97,134.53999999999996,1.3373134139089629,0.8548701996489815,1.8037273642894722,Danon_2013_post,non-home
0.98,173.72000000000025,1.7053562073092916,1.0820458212101514,2.3608856338279423,Danon_2013_post,non-home
0.95,78.0,1.324452095280559,0.7731381652474838,1.9096116072498388,Danon_2013_online,non-home
0.97,104.07999999999993,1.7241596573494853,0.9472856085818903,2.720232234687214,Danon_2013_online,non-home
0.98,128.36000000000013,2.457605036429569,1.185536670302655,3.7729832141427995,Danon_2013_online,non-home
0.95,50.34999999999991,0.6145118324181013,0.16485574038007603,1.2477730459524912,Zhang_2019,non-home
