"C_CID","C_Distances_1","C_Distances_2","C_Distances_3","C_Distances_4","C_Duration","C_How_Often","C_MainWhere","C_MaxDistance","C_NEW_Estimated_Contact_Time_1","C_NEW_Estimated_Contact_Time_2","C_NEW_Estimated_Contact_Time_3","C_NEW_Estimated_Contact_Time_4","C_NEW_Estimated_Contact_Time_5","C_NEW_Estimated_Contact_Time_6","C_NEW_Estimated_Contact_Time_7","C_NEW_Estimated_Contact_Time_8","C_NEW_Estimated_Contact_Time_9","C_NEW_Estimated_Contact_Time_10","C_NEW_Estimated_Contact_Time_11","C_NEW_Estimated_Contact_Time_12","C_NEW_Estimated_Contact_Time_13","C_NEW_Estimated_Contact_Time_14","C_NEW_Estimated_Contact_Time_15","C_NEW_Estimated_Contact_Time_16","C_NEW_Estimated_Contact_Time_17","C_NEW_Estimated_Contact_Time_18","C_NEW_Estimated_Contact_Time_19","C_NEW_Estimated_Contact_Time_20","C_Number","C_PID","C_Touch","C_Wheres_1","C_Wheres_2","C_Wheres_3","C_Wheres_4","C_Wheres_5","C_Wheres_6"
1,1,0,0,0,3,0,1,1,11.443,2.1967,17.455,21.473,8.2296,4.6526,4.5643,14.278,9.0642,1.0914,1.0513,12.117,5.2336,10.798,2.3725,14.622,8.5049,2.3776,3.16,2.2729,1,3,1,1,0,0,0,0,0
2,0,0,0,1,3,0,2,4,6.2767,1.6645,1.1064,2.1234,1.6879,2.859,5.3821,1.1948,1.823,1.3136,2.9112,17.871,1.8967,21.29,3.2626,3.1855,4.0764,12.997,5.3157,3.5738,1,3,0,0,1,0,0,0,0
3,0,0,0,1,3,0,2,4,3.3469,1.1603,11.046,17.897,14.788,1.5149,20.463,1.6731,6.807,1.0163,8.2954,2.7603,6.4221,3.2551,6.4177,1.0187,4.3269,5.7481,9.7856,17.636,1,3,0,0,1,0,0,0,0
4,0,0,0,1,3,0,2,4,14.605,3.4823,2.1653,1.887,14.568,22.129,2.6856,7.2514,1.0587,2.3834,1.5838,1.2961,14.353,7.7134,1.2056,7.4094,15.637,15.662,14.806,8.1099,1,3,0,0,1,0,0,0,0
5,0,0,0,1,3,0,2,4,6.4518,2.0114,1.9176,1.6511,17.921,18.686,10.053,1.493,3.2134,5.8972,6.2232,20.025,4.3667,2.3003,21.742,1.048,4.277,3.1964,2.3316,1.0501,1,3,0,0,1,0,0,0,0
6,0,0,0,1,3,0,2,4,21.126,1.1135,18.059,5.9353,6.1994,23.419,1.9235,5.0305,3.3096,6.3394,1.1686,10.929,9.1858,1.6258,1.3608,8.7916,9.683,2.4661,8.2668,17.72,1,3,0,0,1,0,0,0,0
0,1,0,1,0,3,1,1,3,10.951,4.583,10.62,1.1551,2.3732,20.398,2.3762,10.31,18.226,2.8109,4.8937,1.4883,1.3719,1.4559,3.5712,6.8802,2.052,18.23,5.3796,1.7601,1,4,1,1,0,0,0,0,0
1,0,0,1,0,1,4,2,3,0.23968,0.27652,0.44305,0.32077,0.24536,0.21587,0.18148,0.1957,0.18178,0.16694,0.2987,0.1811,0.22401,0.2048,0.17753,0.24426,0.33142,0.17319,0.45494,0.23194,1,4,1,0,1,0,0,0,0
2,0,0,1,0,3,3,6,3,4.8551,12.525,12.73,4.8843,3.0431,14.035,3.4051,2.3177,2.4215,5.6865,3.1835,16.168,12.529,7.403,11.673,3.1604,1.2476,4.7568,4.134,7.5289,1,4,1,0,0,0,0,0,1
3,0,0,1,0,3,2,6,3,2.3231,1.1557,3.0318,7.5713,2.095,2.1227,1.569,3.518,4.7038,4.0332,6.2539,1.2479,3.668,2.7055,1.0459,11.271,15.571,1.7317,3.9652,2.3888,1,4,1,0,0,0,0,0,1
4,0,1,0,0,1,2,6,2,0.33816,0.24774,0.33647,0.38297,0.23174,0.30332,0.26519,0.30295,0.21509,0.17712,0.18719,0.34305,0.18105,0.31115,0.40714,0.37164,0.22229,0.45603,0.39901,0.17816,1,4,0,0,0,0,0,0,1
5,0,1,0,0,2,1,6,2,0.86873,0.66522,0.79012,0.69791,0.63187,0.87741,0.63531,0.56985,0.71549,0.5003,0.84259,0.98424,0.83536,0.7516,0.88303,0.81746,0.71132,0.7496,0.55525,0.68455,1,4,0,0,0,0,0,0,1
6,1,0,0,0,3,2,6,1,7.4165,2.1379,2.0695,1.1295,5.7734,3.5589,1.3967,1.466,5.0924,9.8033,1.3039,2.3945,1.0801,7.8126,3.6162,1.8118,1.0315,14.878,1.549,1.6436,1,4,1,0,0,0,0,0,1
7,0,0,1,0,3,0,2,3,1.6264,6.6228,8.0874,3.4778,3.6166,1.4941,10.377,14.558,1.005,14.491,3.9531,1.1563,6.0406,2.9752,2.3239,7.4144,9.491,1.0688,2.4516,9.9639,1,4,0,0,1,0,0,0,0
8,0,0,1,0,2,3,2,3,0.88604,0.68798,0.71388,0.89412,0.63261,0.65983,0.60148,0.90329,0.51818,0.99397,0.59695,0.99202,0.87668,0.57208,0.68498,0.73123,0.58596,0.6486,0.78524,0.90135,1,4,0,0,1,0,0,0,0
-1,0,0,0,0,-1,-1,-1,-1,0.099207,0.064446,0.10254,0.052282,0.087341,0.1148,0.49288,0.095833,0.05873,0.045897,0.097215,0.12427,0.044757,0.081934,0.080171,0.095719,0.34509,0.30426,0.0846,0.26146,4,4,0,0,0,0,0,0,0
0,1,0,0,0,3,0,1,1,1.1079,11.601,15.984,3.73,3.8179,6.6615,15.725,3.9468,11.899,3.303,3.4718,9.0486,1.7614,5.9225,5.2844,8.7085,2.6377,8.8276,1.6771,1.5426,1,5,1,1,0,0,0,0,0
1,1,0,0,0,3,0,1,1,4.2513,9.6991,4.3916,1.2913,10.79,13.153,3.0735,7.0147,4.7624,6.1202,9.6497,3.5012,1.037,1.2326,21.544,2.2831,17.681,5.0041,2.9099,5.3767,1,5,1,1,0,0,0,0,0
2,1,0,0,0,3,0,1,1,10.889,10.444,5.9205,1.9708,1.913,12.129,13.27,2.6526,3.0478,22.072,15.052,2.3461,5.6226,11.536,12.2,12.554,7.0523,2.1089,1.1741,3.5513,1,5,1,1,0,0,0,0,0
3,1,0,0,0,3,2,1,1,8.4289,3.3244,4.6376,2.9165,8.8026,4.0413,11.844,2.997,16.531,1.0324,1.6585,1.8846,8.3899,1.7006,2.8223,1.2469,11.433,13.855,13.927,2.1748,1,5,1,1,0,0,0,0,0
4,1,0,0,0,1,3,2,1,0.25484,0.28506,0.44303,0.39237,0.35545,0.35387,0.38433,0.46788,0.26031,0.44289,0.36051,0.25786,0.21625,0.30305,0.29127,0.39675,0.31881,0.35767,0.23044,0.45148,1,5,1,0,1,0,0,0,0
5,1,0,0,0,3,3,1,1,9.1616,4.2387,1.4764,6.6901,4.3234,2.2814,23.213,3.4865,1.0432,3.5018,1.4052,3.1076,22.037,8.0705,3.5749,5.3544,5.0753,18.479,1.571,10.431,1,5,1,1,0,0,0,0,0
6,1,0,0,0,2,0,2,1,0.060395,0.051373,0.063458,0.062412,0.057883,0.033917,0.71681,0.05756,0.035166,0.05806,0.03732,0.050097,0.037267,0.046911,0.060056,0.80065,0.033541,0.037343,0.061238,0.040333,15,5,1,0,1,0,0,0,0
7,1,0,0,0,2,4,6,1,0.029626,0.025404,0.049169,0.042234,0.045146,0.030866,0.036714,0.034741,0.045004,0.041417,0.034548,0.032738,0.034106,0.025851,0.031229,0.029258,0.045239,0.0348,0.039552,0.049251,20,5,0,0,0,0,0,0,1
8,1,0,0,0,1,4,6,1,0.10668,0.058378,0.068696,0.10824,0.1656,0.11642,0.058286,0.12869,0.084681,0.17542,0.074522,0.44596,0.055813,0.12943,0.12163,0.10768,0.072394,0.070687,0.063616,0.06516,3,5,0,0,0,0,0,0,1
0,0,0,0,0,2,0,1,-1,0.93414,0.66275,0.721,0.98736,0.87478,0.72484,0.55826,0.8445,0.8506,0.70961,0.55864,0.99809,0.66552,0.87056,0.76498,0.74506,0.63376,0.56597,0.81869,0.72259,1,6,1,1,0,0,0,0,0
1,0,0,0,0,2,0,1,-1,0.6001,0.94522,0.56038,0.7904,0.7622,0.74659,0.791,0.96639,0.51771,0.8657,0.83057,0.90528,0.76728,0.55126,0.56841,0.71058,0.71882,0.64175,0.54709,0.56806,1,6,1,1,0,0,0,0,0
2,0,0,0,0,2,0,1,-1,0.55195,0.7958,0.97378,0.77206,0.68743,0.59105,0.52137,0.77767,0.68301,0.68809,0.59333,0.62776,0.61925,0.61543,0.65179,0.874,0.89729,0.73495,0.99602,0.88359,1,6,1,1,0,0,0,0,0
3,0,0,0,0,2,0,1,-1,0.59245,0.90812,0.64666,0.56208,0.73555,0.69327,0.95412,0.9499,0.70053,0.82082,0.94755,0.54116,0.5316,0.81551,0.93423,0.71896,0.7824,0.6331,0.90096,0.96837,1,6,1,1,0,0,0,0,0
4,0,0,0,0,2,0,1,-1,0.64842,0.79372,0.57098,0.73035,0.77597,0.58015,0.56021,0.82211,0.60345,0.8669,0.80896,0.83365,0.53279,0.55926,0.74424,0.74504,0.89364,0.91911,0.7348,0.81796,1,6,1,1,0,0,0,0,0
5,0,0,0,0,1,0,-1,-1,0.2404,0.20399,0.27075,0.27986,0.19517,0.37267,0.34097,0.19619,0.48404,0.28255,0.16886,0.2212,0.18567,0.33131,0.35071,0.17113,0.43125,0.38826,0.27725,0.20314,1,6,0,0,0,0,0,0,0
6,0,0,0,0,1,0,-1,-1,0.46797,0.19448,0.42308,0.4313,0.34153,0.46154,0.43919,0.22076,0.27372,0.23639,0.30809,0.31412,0.38727,0.18815,0.32037,0.20134,0.23596,0.42892,0.38016,0.31847,1,6,0,0,0,0,0,0,0
7,0,0,0,0,-1,-1,-1,-1,1.1334,2.1829,5.9236,5.5933,5.0066,9.1558,3.7345,2.1839,10.869,2.1409,9.6155,1.5771,4.8556,1.3717,10.11,5.0671,1.9274,4.4185,8.8896,1.1334,1,6,0,0,0,0,0,0,0
8,0,0,0,0,0,1,-1,-1,0.06306,0.02519,0.068647,0.023016,0.064383,0.00029948,0.0064435,0.12814,0.051565,0.026874,0.056272,0.017834,0.00050255,0.071583,0.015724,0.050682,0.022601,0.028232,0.0051978,0.081686,1,6,0,0,0,0,0,0,0
9,0,0,0,0,0,1,-1,-1,0.0089864,0.090351,0.000271,0.0051438,0.088912,0.0054547,0.03039,0.04384,0.10227,0.048569,0.16595,0.13482,0.15634,0.058547,0.039603,0.042742,0.022002,0.0056843,0.023126,0.11499,1,6,0,0,0,0,0,0,0
10,0,0,0,0,-1,-1,1,-1,0.040258,0.027632,0.036763,0.025416,0.021667,0.022594,0.03394,0.048308,0.023267,0.3892,0.032052,0.025198,0.046212,0.044721,0.037961,0.033434,0.030709,0.041158,0.020092,0.025127,9,6,1,1,0,0,0,0,0
11,0,0,0,0,-1,-1,1,-1,0.0946,0.06037,0.11779,0.05152,0.05059,0.32317,0.056804,0.067732,0.21824,0.073281,0.052096,0.046835,0.16704,0.46925,0.053479,0.45351,0.089516,0.041771,0.11837,0.34478,4,6,1,1,0,0,0,0,0
12,0,0,0,0,-1,-1,1,-1,0.2987,0.32061,0.54999,0.95141,2.1578,0.29759,3.6099,0.54306,0.21674,1.3984,0.41413,0.2514,2.1471,0.24118,1.6416,2.8343,5.4566,1.2572,0.51767,0.81713,5,6,1,1,0,0,0,0,0
-1,0,0,0,0,-1,-1,-1,-1,0.022973,0.026161,0.060379,0.001568,0.13999,0.0014471,0.015789,0.036501,0.038439,0.11783,0.086471,0.041747,0.040396,0.094592,0.0027487,0.039764,0.064753,0.028605,0.086436,0.018706,2,6,0,0,0,0,0,0,0
0,1,0,0,0,3,0,1,1,14.867,11.523,13.063,5.3959,1.2867,1.7523,2.543,2.0714,2.5139,1.5804,8.906,15.865,1.5561,1.831,1.0573,4.7599,13.672,1.2621,1.0529,21.714,1,7,1,1,0,0,0,0,1
1,0,0,0,0,3,0,1,-1,1.8915,4.7698,1.1834,6.7703,1.4351,1.7479,6.8075,4.136,3.1768,15.566,2.5752,12.819,9.9314,9.38,22.564,17.703,12.913,3.3072,22.883,14.143,1,7,1,1,0,0,0,0,0
2,0,0,0,0,3,2,1,-1,3.5047,7.2667,2.135,6.5746,2.9622,22.382,3.0699,1.5038,4.2904,2.9367,1.6058,10.637,1.2988,3.7998,3.9479,3.1867,10.319,8.4525,1.4187,3.2299,1,7,1,1,0,0,0,0,0
3,0,0,0,0,3,2,1,-1,23.893,9.7211,3.3928,1.3623,6.5661,4.8198,1.2445,1.5986,8.4528,5.4933,20.89,2.3101,3.2986,1.9932,6.5329,2.3496,5.2251,11.863,1.199,1.3912,1,7,1,1,0,0,0,0,0
4,1,0,0,0,3,0,1,1,3.5356,21.336,2.5534,1.1091,1.3985,8.271,1.2798,8.0508,8.2196,9.1885,2.1293,1.1793,2.9591,21.574,3.3747,9.3292,5.5139,1.7282,1.0176,10.473,1,7,1,1,1,0,0,0,1
5,1,0,0,0,0,1,5,1,0.0019463,0.069726,0.023094,0.1298,0.060809,0.0085837,0.097768,0.042066,0.0026845,0.016369,0.0081562,0.15866,0.026627,0.15575,0.030854,0.13657,0.12903,0.10569,0.012063,0.035506,1,7,0,0,0,0,0,1,0
6,1,0,0,0,0,0,2,1,0.013154,0.0018233,0.079299,0.12434,0.052986,0.090159,0.0051777,0.083136,0.1478,0.12624,0.016871,0.062376,0.032602,0.017039,0.030198,0.099084,0.14008,0.056025,0.037321,0.0020084,1,7,0,0,1,0,0,0,0
7,1,0,0,0,0,0,2,1,0.03415,0.0050055,0.012114,0.074701,0.1289,0.044174,0.032114,0.11911,0.083718,0.0025804,0.0033519,0.032619,0.0019942,0.044335,0.071302,0.025291,0.12758,0.057528,0.00071571,0.010239,1,7,0,0,1,0,0,0,0
8,1,0,0,0,3,2,1,1,2.2476,7.98,2.6213,1.3711,2.7322,3.9881,2.1427,1.3311,5.4833,22.961,1.7667,2.0227,1.3392,10.322,8.8412,10.903,18.357,1.2683,6.0178,4.6795,1,7,0,1,1,0,0,0,1
9,1,0,0,0,0,0,1,1,0.014632,0.023292,0.074553,0.024876,0.14479,0.076846,0.0047842,0.043739,0.12791,0.10542,0.091883,0.08127,0.1622,0.030315,0.00048014,0.057543,0.043987,0.058993,0.148,0.040325,1,7,1,1,1,0,0,0,0
10,1,0,0,0,0,4,6,1,0.12629,0.10665,0.10324,0.029539,0.01917,0.027848,0.0050111,0.018947,0.034573,0.0026896,0.0058828,0.074671,0.00090046,0.0091619,0.0093688,0.00043344,0.00016974,0.014336,0.06563,0.055013,1,7,0,0,0,0,0,0,1
11,1,0,0,0,0,4,6,1,0.043199,0.078899,0.11042,0.0051233,0.002848,0.099192,0.0096074,0.025225,0.034728,0.078529,0.00032132,0.0051288,0.034989,0.067266,0.0023145,0.0005456,0.00072738,0.16664,0.0075418,0.0013019,1,7,0,0,0,0,0,0,1
12,1,0,0,0,1,0,2,1,0.19814,0.1875,0.27179,0.085659,0.31443,0.17098,0.45325,0.38244,0.10127,0.12939,0.1257,0.10131,0.22136,0.23682,0.20599,0.17627,0.097329,0.17832,0.089776,0.42594,2,7,0,0,1,0,0,0,0
